time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.002,-1.00E-06,-0.00559992,-8.00E-07,-0.00399992,-8.00E-07,-0.00399992,-8.00E-07,0.0168001,-8.00E-07,0.0179999,-8.00E-07,0.0119999,0.007760012
-1.00E-06,0.002,-1.00E-06,-0.00559992,-8.00E-07,-0.00399992,-8.00E-07,-0.00319992,-8.00E-07,0.0168001,-8.00E-07,0.0159999,-8.00E-07,0.00999986,0.007120004
-9.99E-07,-0.002,-9.99E-07,-0.00239992,-7.99E-07,-0.00159992,-7.99E-07,-0.0143999,-7.99E-07,0.0112001,-7.99E-07,0.0119999,-7.99E-07,0.0159999,0.004640016
-9.99E-07,0.01,-9.99E-07,0.00240008,-7.99E-07,-0.000799922,-7.99E-07,-0.00239992,-7.99E-07,0.0112001,-7.99E-07,0.0219999,-7.99E-07,0.0159999,0.009200012
-9.98E-07,0.002,-9.98E-07,0.00160008,-7.98E-07,7.80E-08,-7.98E-07,-0.00559992,-7.98E-07,0.0152001,-7.98E-07,0.0139999,-7.98E-07,0.00999986,0.006720004
-9.98E-07,0.002,-9.98E-07,-0.00719992,-7.98E-07,-0.000799922,-7.98E-07,-0.00399992,-7.98E-07,0.0120001,-7.98E-07,0.0139999,-7.98E-07,0.00999986,0.006240004
-9.98E-07,0.002,-9.98E-07,-0.00719992,-7.98E-07,-0.00159992,-7.98E-07,-0.00799992,-7.98E-07,0.00480008,-7.98E-07,0.00799986,-7.98E-07,0.0179999,0.00424
-9.97E-07,0.008,-9.97E-07,-0.00399992,-7.97E-07,-0.00879992,-7.97E-07,-0.00959992,-7.97E-07,0.00320008,-7.97E-07,0.0159999,-7.97E-07,0.0159999,0.003360008
-9.97E-07,-0.006,-9.97E-07,0.00240008,-7.97E-07,0.00320008,-7.97E-07,-0.00879992,-7.97E-07,0.0104001,-7.97E-07,0.0159999,-7.97E-07,0.0119999,0.006560012
-9.96E-07,0.002,-9.96E-07,0.00400008,-7.96E-07,-0.000799922,-7.96E-07,-0.00319992,-7.96E-07,0.00720008,-7.96E-07,0.0239999,-7.96E-07,0.0239999,0.010240008
-9.96E-07,-0.016,-9.96E-07,0.000800078,-7.96E-07,-0.00399992,-7.96E-07,-0.00879992,-7.96E-07,0.0136001,-7.96E-07,0.0159999,-7.96E-07,0.0219999,0.007760012
-9.96E-07,0.002,-9.96E-07,-0.00639992,-7.96E-07,-0.00479992,-7.96E-07,-0.0159999,-7.96E-07,0.00560008,-7.96E-07,0.0219999,-7.96E-07,0.0139999,0.004160012
-9.95E-07,0.004,-9.95E-07,-0.00159992,-7.95E-07,-0.00319992,-7.95E-07,-0.00639992,-7.95E-07,0.0160001,-7.95E-07,0.0279999,-7.95E-07,0.0139999,0.009680012
-9.95E-07,0,-9.95E-07,-0.00719992,-7.95E-07,-0.000799922,-7.95E-07,-0.00799992,-7.95E-07,0.00560008,-7.95E-07,0.0159999,-7.95E-07,0.0279999,0.008160008
-9.94E-07,0,-9.94E-07,0.00320008,-7.94E-07,0.00320008,-7.94E-07,-0.00799992,-7.94E-07,0.0160001,-7.94E-07,0.0119999,-7.94E-07,0.0279999,0.010240012
-9.94E-07,0.002,-9.94E-07,7.80E-08,-7.94E-07,7.80E-08,-7.94E-07,-0.00559992,-7.94E-07,0.0120001,-7.94E-07,0.0139999,-7.94E-07,0.0179999,0.007680012
-9.94E-07,0.002,-9.94E-07,0.00160008,-7.94E-07,-0.00399992,-7.94E-07,-0.00639992,-7.94E-07,0.00640008,-7.94E-07,0.0119999,-7.94E-07,0.0199999,0.005600008
-9.93E-07,0.004,-9.93E-07,0.00160008,-7.93E-07,0.00400008,-7.93E-07,-0.00639992,-7.93E-07,0.0136001,-7.93E-07,0.0199999,-7.93E-07,0.0179999,0.009840012
-9.93E-07,-0.004,-9.93E-07,-0.00319992,-7.93E-07,-0.00399992,-7.93E-07,-0.0103999,-7.93E-07,0.0152001,-7.93E-07,0.00999986,-7.93E-07,0.0239999,0.006960008
-9.92E-07,-0.002,-9.92E-07,0.00240008,-7.92E-07,-0.00239992,-7.92E-07,-0.00319992,-7.92E-07,0.0144001,-7.92E-07,0.0139999,-7.92E-07,0.0119999,0.006960012
-9.92E-07,-0.002,-9.92E-07,-0.00479992,-7.92E-07,-0.00479992,-7.92E-07,-0.0127999,-7.92E-07,0.0120001,-7.92E-07,0.0119999,-7.92E-07,0.0119999,0.003680016
-9.92E-07,-0.004,-9.92E-07,0.00400008,-7.92E-07,-0.00479992,-7.92E-07,-0.00159992,-7.92E-07,0.0128001,-7.92E-07,0.0139999,-7.92E-07,0.0139999,0.006880012
-9.91E-07,-0.002,-9.91E-07,-0.00319992,-7.91E-07,0.00400008,-7.91E-07,-0.00639992,-7.91E-07,0.00880008,-7.91E-07,0.00399986,-7.91E-07,0.0139999,0.00488
-9.91E-07,-0.002,-9.91E-07,-0.00799992,-7.91E-07,-0.00799992,-7.91E-07,-0.00959992,-7.91E-07,0.0112001,-7.91E-07,0.00999986,-7.91E-07,0.0119999,0.003120004
-9.90E-07,0.002,-9.90E-07,-0.00319992,-7.90E-07,-0.00639992,-7.90E-07,-0.00879992,-7.90E-07,0.0136001,-7.90E-07,0.0159999,-7.90E-07,0.0119999,0.005280012
-9.90E-07,0,-9.90E-07,-0.00879992,-7.90E-07,-0.00799992,-7.90E-07,-0.00879992,-7.90E-07,0.00960008,-7.90E-07,0.0139999,-7.90E-07,0.0159999,0.004560008
-9.90E-07,-0.002,-9.90E-07,-0.000799922,-7.90E-07,0.000800078,-7.90E-07,-0.00639992,-7.90E-07,0.00880008,-7.90E-07,0.0139999,-7.90E-07,0.0139999,0.006240008
-9.89E-07,-0.006,-9.89E-07,-0.00239992,-7.89E-07,-0.00319992,-7.89E-07,-0.00799992,-7.89E-07,0.0144001,-7.89E-07,0.0159999,-7.89E-07,0.0159999,0.007040012
-9.89E-07,0,-9.89E-07,-0.00159992,-7.89E-07,0.000800078,-7.89E-07,-0.00959992,-7.89E-07,0.0192001,-7.89E-07,0.00999986,-7.89E-07,0.0119999,0.006480004
-9.88E-07,0.002,-9.88E-07,0.00480008,-7.88E-07,-0.00239992,-7.88E-07,-0.0103999,-7.88E-07,0.0136001,-7.88E-07,0.0199999,-7.88E-07,0.0119999,0.006560016
-9.88E-07,0,-9.88E-07,-0.00159992,-7.88E-07,-0.00799992,-7.88E-07,-0.0103999,-7.88E-07,0.0120001,-7.88E-07,0.00799986,-7.88E-07,0.00399986,0.00112
-9.88E-07,0,-9.88E-07,7.80E-08,-7.88E-07,-0.00239992,-7.88E-07,-0.0111999,-7.88E-07,0.0168001,-7.88E-07,0.00599986,-7.88E-07,0.0199999,0.005840008
-9.87E-07,0,-9.87E-07,-0.000799922,-7.87E-07,0.000800078,-7.87E-07,-0.0103999,-7.87E-07,0.0136001,-7.87E-07,0.0119999,-7.87E-07,0.0179999,0.006800016
-9.87E-07,0.004,-9.87E-07,-0.000799922,-7.87E-07,0.00240008,-7.87E-07,-0.00879992,-7.87E-07,0.0136001,-7.87E-07,0.0119999,-7.87E-07,0.00799986,0.005440004
-9.86E-07,-0.01,-9.86E-07,-0.00399992,-7.86E-07,7.80E-08,-7.86E-07,-0.00479992,-7.86E-07,0.0144001,-7.86E-07,0.0119999,-7.86E-07,0.0159999,0.007520012
-9.86E-07,0.004,-9.86E-07,-0.00159992,-7.86E-07,-0.000799922,-7.86E-07,-0.0103999,-7.86E-07,0.0144001,-7.86E-07,0.00799986,-7.86E-07,0.0179999,0.005840008
-9.86E-07,0.004,-9.86E-07,7.80E-08,-7.86E-07,-0.00799992,-7.86E-07,-0.000799922,-7.86E-07,0.0128001,-7.86E-07,0.0139999,-7.86E-07,0.0179999,0.007200012
-9.85E-07,0.002,-9.85E-07,-0.00159992,-7.85E-07,-0.00239992,-7.85E-07,-0.00399992,-7.85E-07,0.0112001,-7.85E-07,0.00599986,-7.85E-07,0.00799986,0.003759996
-9.85E-07,0,-9.85E-07,-0.00319992,-7.85E-07,-0.00559992,-7.85E-07,-0.0119999,-7.85E-07,0.0152001,-7.85E-07,0.00599986,-7.85E-07,0.00999986,0.00272
-9.84E-07,0.008,-9.84E-07,7.80E-08,-7.84E-07,7.80E-08,-7.84E-07,-0.00719992,-7.84E-07,0.00320008,-7.84E-07,0.00599986,-7.84E-07,0.0199999,0.0044
-9.84E-07,-0.004,-9.84E-07,0.00240008,-7.84E-07,-0.00719992,-7.84E-07,-0.0175999,-7.84E-07,0.00880008,-7.84E-07,0.0139999,-7.84E-07,0.00799986,0.001200004
-9.84E-07,0.002,-9.84E-07,0.000800078,-7.84E-07,-0.00319992,-7.84E-07,-0.00799992,-7.84E-07,0.00960008,-7.84E-07,0.0219999,-7.84E-07,0.0219999,0.008480008
-9.83E-07,-0.004,-9.83E-07,0.00240008,-7.83E-07,-0.000799922,-7.83E-07,-0.00639992,-7.83E-07,0.0144001,-7.83E-07,0.00799986,-7.83E-07,0.0119999,0.005440004
-9.83E-07,-0.004,-9.83E-07,-0.00799992,-7.83E-07,-0.00239992,-7.83E-07,-0.00559992,-7.83E-07,0.0112001,-7.83E-07,0.0119999,-7.83E-07,0.0239999,0.007840012
-9.82E-07,-0.002,-9.82E-07,-0.00319992,-7.82E-07,-0.00159992,-7.82E-07,-0.0111999,-7.82E-07,0.0144001,-7.82E-07,0.0179999,-7.82E-07,0.0199999,0.007920016
-9.82E-07,0.012,-9.82E-07,-0.00399992,-7.82E-07,-0.00479992,-7.82E-07,-0.00959992,-7.82E-07,0.0128001,-7.82E-07,0.0259999,-7.82E-07,0.0139999,0.007680012
-9.82E-07,-0.004,-9.82E-07,0.000800078,-7.82E-07,-0.00959992,-7.82E-07,-0.00719992,-7.82E-07,0.0112001,-7.82E-07,0.0119999,-7.82E-07,0.0259999,0.006480012
-9.81E-07,0.008,-9.81E-07,-0.00719992,-7.81E-07,0.00320008,-7.81E-07,-0.00479992,-7.81E-07,0.0112001,-7.81E-07,0.0139999,-7.81E-07,0.0119999,0.007120012
-9.81E-07,-0.002,-9.81E-07,7.80E-08,-7.81E-07,-0.00879992,-7.81E-07,-0.0135999,-7.81E-07,0.0144001,-7.81E-07,0.0179999,-7.81E-07,0.0259999,0.007200016
-9.80E-07,0.006,-9.80E-07,0.00160008,-7.80E-07,-0.00559992,-7.80E-07,-0.00399992,-7.80E-07,0.0104001,-7.80E-07,0.0119999,-7.80E-07,0.0119999,0.004960012
-9.80E-07,-0.006,-9.80E-07,-0.00479992,-7.80E-07,-0.00399992,-7.80E-07,-0.00639992,-7.80E-07,0.00720008,-7.80E-07,0.0239999,-7.80E-07,0.0239999,0.008960008
-9.80E-07,-0.004,-9.80E-07,-0.00159992,-7.80E-07,0.00240008,-7.80E-07,-0.00719992,-7.80E-07,0.0152001,-7.80E-07,0.0199999,-7.80E-07,0.0259999,0.011280012
-9.79E-07,0.002,-9.79E-07,-0.00159992,-7.79E-07,-0.00559992,-7.79E-07,-0.0103999,-7.79E-07,0.0184001,-7.79E-07,0.00599986,-7.79E-07,0.00999986,0.00368
-9.79E-07,-0.002,-9.79E-07,0.00480008,-7.79E-07,-0.00159992,-7.79E-07,-0.00479992,-7.79E-07,0.00800008,-7.79E-07,0.0139999,-7.79E-07,0.0119999,0.005520008
-9.78E-07,-0.004,-9.78E-07,0.00160008,-7.78E-07,0.00240008,-7.78E-07,-0.00719992,-7.78E-07,0.0144001,-7.78E-07,0.0139999,-7.78E-07,0.00799986,0.006320004
-9.78E-07,-0.008,-9.78E-07,-0.00559992,-7.78E-07,-0.000799922,-7.78E-07,-0.00399992,-7.78E-07,0.0136001,-7.78E-07,0.0139999,-7.78E-07,0.00999986,0.006560004
-9.78E-07,-0.006,-9.78E-07,0.00560008,-7.78E-07,0.00240008,-7.78E-07,-0.00399992,-7.78E-07,0.0120001,-7.78E-07,0.0159999,-7.78E-07,0.00799986,0.006880004
-9.77E-07,-0.006,-9.77E-07,-0.00639992,-7.77E-07,0.00480008,-7.77E-07,-0.00799992,-7.77E-07,0.0184001,-7.77E-07,0.0119999,-7.77E-07,0.0119999,0.007840012
-9.77E-07,-0.006,-9.77E-07,0.00320008,-7.77E-07,-0.000799922,-7.77E-07,-0.00719992,-7.77E-07,0.0120001,-7.77E-07,0.00999986,-7.77E-07,0.00399986,0.003599996
-9.76E-07,0,-9.76E-07,0.00320008,-7.76E-07,0.00160008,-7.76E-07,-0.0127999,-7.76E-07,0.0120001,-7.76E-07,0.0119999,-7.76E-07,0.00799986,0.004160008
-9.76E-07,-0.002,-9.76E-07,-0.00399992,-7.76E-07,0.00320008,-7.76E-07,-0.00959992,-7.76E-07,0.0176001,-7.76E-07,0.0199999,-7.76E-07,0.00999986,0.008240004
-9.76E-07,0.008,-9.76E-07,0.00320008,-7.76E-07,-0.00239992,-7.76E-07,-0.00399992,-7.76E-07,0.0104001,-7.76E-07,0.0139999,-7.76E-07,0.00999986,0.005600004
-9.75E-07,-0.002,-9.75E-07,0.00400008,-7.75E-07,-0.00639992,-7.75E-07,-0.0111999,-7.75E-07,0.00880008,-7.75E-07,0.00999986,-7.75E-07,0.0199999,0.004240004
-9.75E-07,0.002,-9.75E-07,-0.000799922,-7.75E-07,0.00320008,-7.75E-07,-0.00799992,-7.75E-07,0.00640008,-7.75E-07,0.00999986,-7.75E-07,0.0219999,0.00672
-9.74E-07,-0.002,-9.74E-07,0.00720008,-7.74E-07,-0.00799992,-7.74E-07,-0.0119999,-7.74E-07,0.00960008,-7.74E-07,0.0199999,-7.74E-07,0.00999986,0.003920004
-9.74E-07,0.004,-9.74E-07,-0.00159992,-7.74E-07,-0.00559992,-7.74E-07,-0.0143999,-7.74E-07,0.00880008,-7.74E-07,0.0119999,-7.74E-07,0.00799986,0.001760004
-9.74E-07,-0.012,-9.74E-07,-0.00719992,-7.74E-07,-0.00959992,-7.74E-07,-0.0135999,-7.74E-07,0.0120001,-7.74E-07,0.00999986,-7.74E-07,0.0239999,0.004560008
-9.73E-07,-0.006,-9.73E-07,-0.00719992,-7.73E-07,-0.00399992,-7.73E-07,-0.00879992,-7.73E-07,0.00960008,-7.73E-07,0.0159999,-7.73E-07,0.0159999,0.005760008
-9.73E-07,-0.008,-9.73E-07,0.00480008,-7.73E-07,-0.00639992,-7.73E-07,-0.0111999,-7.73E-07,0.0144001,-7.73E-07,0.0119999,-7.73E-07,0.0139999,0.004560016
-9.72E-07,-0.004,-9.72E-07,0.00160008,-7.72E-07,-0.00719992,-7.72E-07,-0.00639992,-7.72E-07,0.0152001,-7.72E-07,0.0159999,-7.72E-07,0.00799986,0.005120004
-9.72E-07,-0.006,-9.72E-07,-0.000799922,-7.72E-07,-0.00879992,-7.72E-07,-0.0111999,-7.72E-07,0.0104001,-7.72E-07,0.0179999,-7.72E-07,0.0119999,0.004080016
-9.72E-07,0,-9.72E-07,-0.00239992,-7.72E-07,-0.00559992,-7.72E-07,-0.00719992,-7.72E-07,0.0128001,-7.72E-07,0.0239999,-7.72E-07,0.0259999,0.010000012
-9.71E-07,-0.004,-9.71E-07,0.00480008,-7.71E-07,7.80E-08,-7.71E-07,-0.00479992,-7.71E-07,0.00800008,-7.71E-07,0.0179999,-7.71E-07,0.0119999,0.006640008
-9.71E-07,0.008,-9.71E-07,0.000800078,-7.71E-07,-0.00239992,-7.71E-07,-0.0127999,-7.71E-07,0.0152001,-7.71E-07,0.00999986,-7.71E-07,0.0159999,0.005200008
-9.70E-07,-0.004,-9.70E-07,-0.000799922,-7.70E-07,-0.00319992,-7.70E-07,-0.00959992,-7.70E-07,0.0176001,-7.70E-07,0.00799986,-7.70E-07,0.0259999,0.007760004
-9.70E-07,0,-9.70E-07,-0.00239992,-7.70E-07,-0.00399992,-7.70E-07,-0.00719992,-7.70E-07,0.00880008,-7.70E-07,0.0119999,-7.70E-07,0.0139999,0.004720008
-9.70E-07,0.004,-9.70E-07,-0.00719992,-7.70E-07,-0.00879992,-7.70E-07,-0.00639992,-7.70E-07,0.0176001,-7.70E-07,0.0119999,-7.70E-07,0.0219999,0.007280012
-9.69E-07,0,-9.69E-07,-0.00239992,-7.69E-07,-0.000799922,-7.69E-07,-0.00239992,-7.69E-07,0.0128001,-7.69E-07,0.00799986,-7.69E-07,0.0159999,0.006720004
-9.69E-07,0,-9.69E-07,0.00560008,-7.69E-07,0.00400008,-7.69E-07,-0.00719992,-7.69E-07,0.0104001,-7.69E-07,0.00399986,-7.69E-07,0.0339999,0.009040004
-9.68E-07,-0.002,-9.68E-07,-0.00639992,-7.68E-07,0.000800078,-7.68E-07,-0.00639992,-7.68E-07,0.00640008,-7.68E-07,0.00999986,-7.68E-07,0.0159999,0.00536
-9.68E-07,0.006,-9.68E-07,-0.00559992,-7.68E-07,-0.00559992,-7.68E-07,-0.00959992,-7.68E-07,0.0152001,-7.68E-07,0.0179999,-7.68E-07,0.0219999,0.008000012
-9.68E-07,-0.002,-9.68E-07,-0.00319992,-7.68E-07,-0.00159992,-7.68E-07,-0.00559992,-7.68E-07,0.0144001,-7.68E-07,0.0139999,-7.68E-07,0.00999986,0.006240004
-9.67E-07,-0.004,-9.67E-07,-0.00479992,-7.67E-07,-0.00639992,-7.67E-07,-0.00559992,-7.67E-07,0.00800008,-7.67E-07,0.0119999,-7.67E-07,0.0219999,0.006000008
-9.67E-07,0,-9.67E-07,0.00240008,-7.67E-07,-0.00239992,-7.67E-07,-0.00719992,-7.67E-07,0.0112001,-7.67E-07,0.00199986,-7.67E-07,0.0139999,0.003520004
-9.66E-07,-0.008,-9.66E-07,-0.00399992,-7.66E-07,-0.00559992,-7.66E-07,-0.00879992,-7.66E-07,0.0176001,-7.66E-07,0.00799986,-7.66E-07,0.00999986,0.004239996
-9.66E-07,0.006,-9.66E-07,-0.00319992,-7.66E-07,-0.00159992,-7.66E-07,-0.00639992,-7.66E-07,0.0168001,-7.66E-07,0.0179999,-7.66E-07,0.00999986,0.007360004
-9.66E-07,0,-9.66E-07,-0.00239992,-7.66E-07,-0.00399992,-7.66E-07,-0.00639992,-7.66E-07,0.0176001,-7.66E-07,0.0159999,-7.66E-07,0.0179999,0.008240012
-9.65E-07,0.002,-9.65E-07,-0.00319992,-7.65E-07,-0.000799922,-7.65E-07,-0.00799992,-7.65E-07,0.0128001,-7.65E-07,0.0179999,-7.65E-07,0.0119999,0.006800012
-9.65E-07,-0.006,-9.65E-07,0.00160008,-7.65E-07,-0.00559992,-7.65E-07,-0.0143999,-7.65E-07,0.0128001,-7.65E-07,0.0139999,-7.65E-07,0.00799986,0.002960008
-9.64E-07,-0.004,-9.64E-07,-0.00159992,-7.64E-07,-0.00239992,-7.64E-07,-0.000799922,-7.64E-07,0.0136001,-7.64E-07,0.0179999,-7.64E-07,0.0119999,0.008080012
-9.64E-07,-0.006,-9.64E-07,-0.00799992,-7.64E-07,-0.0135999,-7.64E-07,-0.0127999,-7.64E-07,0.00960008,-7.64E-07,0.0159999,-7.64E-07,0.0139999,0.002640016
-9.64E-07,0,-9.64E-07,0.00240008,-7.64E-07,-0.00559992,-7.64E-07,-0.00559992,-7.64E-07,0.0152001,-7.64E-07,0.0119999,-7.64E-07,0.0219999,0.007600012
-9.63E-07,0.012,-9.63E-07,-0.00479992,-7.63E-07,-0.00319992,-7.63E-07,-0.0135999,-7.63E-07,0.0176001,-7.63E-07,0.0159999,-7.63E-07,0.00399986,0.004160008
-9.63E-07,0.002,-9.63E-07,-0.00239992,-7.63E-07,-0.00799992,-7.63E-07,-0.00559992,-7.63E-07,0.0152001,-7.63E-07,0.0159999,-7.63E-07,0.0119999,0.005920012
-9.62E-07,0.002,-9.62E-07,-0.00319992,-7.62E-07,-0.000799922,-7.62E-07,-0.00879992,-7.62E-07,0.0136001,-7.62E-07,0.00399986,-7.62E-07,0.0159999,0.004800004
-9.62E-07,-0.004,-9.62E-07,-0.00719992,-7.62E-07,-0.00479992,-7.62E-07,-0.00719992,-7.62E-07,0.0152001,-7.62E-07,0.0119999,-7.62E-07,0.0179999,0.006640012
-9.62E-07,0.006,-9.62E-07,-0.00319992,-7.62E-07,-0.00639992,-7.62E-07,-0.0119999,-7.62E-07,0.0128001,-7.62E-07,0.0119999,-7.62E-07,0.0139999,0.004080016
-9.61E-07,0,-9.61E-07,-0.000799922,-7.61E-07,-0.00479992,-7.61E-07,-0.00159992,-7.61E-07,0.0168001,-7.61E-07,0.0179999,-7.61E-07,0.0219999,0.010080012
-9.61E-07,0,-9.61E-07,-0.00719992,-7.61E-07,-0.00559992,-7.61E-07,-0.00319992,-7.61E-07,0.00960008,-7.61E-07,0.00399986,-7.61E-07,0.0119999,0.00336
-9.60E-07,-0.004,-9.60E-07,-0.00319992,-7.60E-07,-0.00479992,-7.60E-07,-0.00879992,-7.60E-07,0.00160008,-7.60E-07,0.0119999,-7.60E-07,0.0199999,0.004000008
-9.60E-07,-0.002,-9.60E-07,0.00880008,-7.60E-07,0.00480008,-7.60E-07,-0.00799992,-7.60E-07,0.0160001,-7.60E-07,0.0179999,-7.60E-07,0.0159999,0.009360012
-9.60E-07,0.002,-9.60E-07,7.80E-08,-7.60E-07,-0.000799922,-7.60E-07,-0.00239992,-7.60E-07,0.0112001,-7.60E-07,0.00599986,-7.60E-07,0.0139999,0.005600004
-9.59E-07,-0.006,-9.59E-07,-0.00319992,-7.59E-07,-0.00319992,-7.59E-07,-0.0175999,-7.59E-07,0.00640008,-7.59E-07,0.0139999,-7.59E-07,0.0219999,0.004320012
-9.59E-07,0.002,-9.59E-07,-0.0103999,-7.59E-07,7.80E-08,-7.59E-07,-0.00719992,-7.59E-07,0.00960008,-7.59E-07,0.00999986,-7.59E-07,0.0239999,0.00728
-9.58E-07,0,-9.58E-07,-0.00319992,-7.58E-07,0.00240008,-7.58E-07,-0.00559992,-7.58E-07,0.0104001,-7.58E-07,0.0119999,-7.58E-07,0.0119999,0.006240012
-9.58E-07,0.002,-9.58E-07,0.00160008,-7.58E-07,-0.00159992,-7.58E-07,-0.00719992,-7.58E-07,0.00720008,-7.58E-07,0.0159999,-7.58E-07,0.00799986,0.00448
-9.58E-07,-0.012,-9.58E-07,7.80E-08,-7.58E-07,-0.00319992,-7.58E-07,-0.00559992,-7.58E-07,0.00720008,-7.58E-07,0.00599986,-7.58E-07,0.0179999,0.00448
-9.57E-07,-0.008,-9.57E-07,-0.00559992,-7.57E-07,-0.00559992,-7.57E-07,-0.00479992,-7.57E-07,0.0104001,-7.57E-07,0.0199999,-7.57E-07,0.0259999,0.009200012
