time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-2.00E-07,-0.00175,-2.00E-07,-0.0960006,-8.00E-07,-0.0560006,-8.00E-07,-0.0400006,-8.00E-07,-0.0400006,-8.00E-07,0.400001,-8.00E-07,-0.0399987,0.0448001
-2.00E-07,0.002,-2.00E-07,-0.0890006,-8.00E-07,0.0799994,-8.00E-07,-0.0720006,-8.00E-07,-0.00800057,-8.00E-07,0.400001,-8.00E-07,-0.0399987,0.072000106
-2.00E-07,0.004,-2.00E-07,-0.0710006,-7.99E-07,-0.0400006,-7.99E-07,-0.0400006,-7.99E-07,-0.00800057,-7.99E-07,0.320001,-7.99E-07,-0.0799987,0.030400106
-2.00E-07,0.003875,-2.00E-07,-0.0445006,-7.99E-07,0.0319994,-7.99E-07,-0.0640006,-7.99E-07,0.0639994,-7.99E-07,0.160001,-7.99E-07,-0.119999,0.01440004
-2.00E-07,0.00225,-2.00E-07,-0.0160006,-7.98E-07,0.0559994,-7.98E-07,-0.0720006,-7.98E-07,0.0879994,-7.98E-07,0.440001,-7.98E-07,-0.119999,0.07840004
-2.00E-07,0.0005,-2.00E-07,0.00749943,-7.98E-07,-0.00800057,-7.98E-07,-0.0960006,-7.98E-07,0.0239994,-7.98E-07,0.0400013,-7.98E-07,0.120001,0.016000106
-1.99E-07,0,-1.99E-07,0.0204994,-7.98E-07,0.0639994,-7.98E-07,-0.0480006,-7.98E-07,0.0399994,-7.98E-07,0.160001,-7.98E-07,-0.119999,0.01920004
-1.99E-07,0.001375,-1.99E-07,0.0199994,-7.97E-07,0.0639994,-7.97E-07,-0.0560006,-7.97E-07,-0.0560006,-7.97E-07,0.0800013,-7.97E-07,-0.359999,-0.0655999
-1.99E-07,0.003875,-1.99E-07,0.00799943,-7.97E-07,0.0239994,-7.97E-07,-0.0400006,-7.97E-07,-0.0400006,-7.97E-07,0.280001,-7.97E-07,-0.199999,0.00480004
-1.99E-07,0.006,-1.99E-07,-0.0105006,-7.96E-07,0.0159994,-7.96E-07,-0.0800006,-7.96E-07,0.0239994,-7.96E-07,0.320001,-7.96E-07,-0.0399987,0.0480001
-1.99E-07,0.006,-1.99E-07,-0.0280006,-7.96E-07,-0.0160006,-7.96E-07,-0.0960006,-7.96E-07,0.00799943,-7.96E-07,0.0400013,-7.96E-07,-0.159999,-0.044799894
-1.99E-07,0.003,-1.99E-07,-0.0390006,-7.96E-07,0.0159994,-7.96E-07,-0.0720006,-7.96E-07,0.0319994,-7.96E-07,0.320001,-7.96E-07,-0.239999,0.01120004
-1.99E-07,-0.002375,-1.99E-07,-0.0400006,-7.95E-07,0.0639994,-7.95E-07,-0.0240006,-7.95E-07,-5.70E-07,-7.95E-07,0.320001,-7.95E-07,-0.439999,-0.015999954
-1.99E-07,-0.008875,-1.99E-07,-0.0330006,-7.95E-07,0.0479994,-7.95E-07,-0.0960006,-7.95E-07,0.127999,-7.95E-07,0.240001,-7.95E-07,0.0400013,0.07200002
-1.99E-07,-0.014,-1.99E-07,-0.0225006,-7.94E-07,-0.0480006,-7.94E-07,-0.0560006,-7.94E-07,0.0799994,-7.94E-07,0.200001,-7.94E-07,-0.0799987,0.0192001
-1.99E-07,-0.016125,-1.99E-07,-0.0155006,-7.94E-07,-5.70E-07,-7.94E-07,-0.0480006,-7.94E-07,0.0239994,-7.94E-07,0.360001,-7.94E-07,-0.239999,0.019200046
-1.98E-07,-0.014625,-1.98E-07,-0.0160006,-7.94E-07,0.0239994,-7.94E-07,-0.0560006,-7.94E-07,0.0239994,-7.94E-07,0.280001,-7.94E-07,-0.159999,0.02240004
-1.98E-07,-0.010125,-1.98E-07,-0.0260006,-7.93E-07,0.0159994,-7.93E-07,-0.00800057,-7.93E-07,-0.0400006,-7.93E-07,0.240001,-7.93E-07,-0.0799987,0.025600106
-1.98E-07,-0.004,-1.98E-07,-0.0430006,-7.93E-07,0.0399994,-7.93E-07,-0.0800006,-7.93E-07,0.0559994,-7.93E-07,0.200001,-7.93E-07,-0.199999,0.00320004
-1.98E-07,0.001875,-1.98E-07,-0.0605006,-7.92E-07,-0.0560006,-7.92E-07,-0.0400006,-7.92E-07,0.0399994,-7.92E-07,0.200001,-7.92E-07,-0.199999,-0.01119996
-1.98E-07,0.006,-1.98E-07,-0.0720006,-7.92E-07,-5.70E-07,-7.92E-07,0.00799943,-7.92E-07,-0.0240006,-7.92E-07,0.440001,-7.92E-07,-0.239999,0.036800052
-1.98E-07,0.008,-1.98E-07,-0.0730006,-7.92E-07,-5.70E-07,-7.92E-07,-0.0480006,-7.92E-07,0.0719994,-7.92E-07,0.160001,-7.92E-07,1.34E-06,0.036800114
-1.98E-07,0.008,-1.98E-07,-0.0630006,-7.91E-07,0.0399994,-7.91E-07,-0.104001,-7.91E-07,-0.0480006,-7.91E-07,0.240001,-7.91E-07,-0.159999,-0.00640004
-1.98E-07,0.006625,-1.98E-07,-0.0445006,-7.91E-07,0.0319994,-7.91E-07,-0.0800006,-7.91E-07,0.0959994,-7.91E-07,0.360001,-7.91E-07,-0.239999,0.03360004
-1.98E-07,0.004375,-1.98E-07,-0.0240006,-7.90E-07,0.0159994,-7.90E-07,-0.0400006,-7.90E-07,0.0239994,-7.90E-07,0.320001,-7.90E-07,-0.0399987,0.0560001
-1.98E-07,0.002125,-1.98E-07,-0.00750057,-7.90E-07,-0.0240006,-7.90E-07,-0.0800006,-7.90E-07,0.0639994,-7.90E-07,0.240001,-7.90E-07,0.0800013,0.0560001
-1.97E-07,0,-1.97E-07,-0.00050057,-7.90E-07,0.0479994,-7.90E-07,-0.0320006,-7.90E-07,-0.0400006,-7.90E-07,0.0800013,-7.90E-07,-0.159999,-0.0207999
-1.97E-07,-0.001625,-1.97E-07,-0.00400057,-7.89E-07,0.0159994,-7.89E-07,-0.0560006,-7.89E-07,0.00799943,-7.89E-07,0.280001,-7.89E-07,-0.199999,0.009600046
