time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.03,-1.00E-06,0.0159994,-8.00E-07,0.0159994,-8.00E-07,-0.0480006,-8.00E-07,-0.0160006,-8.00E-07,0.280001,-8.00E-07,-0.119999,0.02240004
-1.00E-06,-0.03,-1.00E-06,0.0319994,-8.00E-07,0.0159994,-8.00E-07,-0.0160006,-8.00E-07,-0.00800057,-8.00E-07,1.34E-06,-8.00E-07,-0.239999,-0.049599886
-9.99E-07,0.01,-9.99E-07,-0.0640006,-7.99E-07,-0.00800057,-7.99E-07,-0.0880006,-7.99E-07,0.0239994,-7.99E-07,0.280001,-7.99E-07,-0.119999,0.017600046
-9.99E-07,0,-9.99E-07,-0.0560006,-7.99E-07,0.00799943,-7.99E-07,-0.0720006,-7.99E-07,0.0239994,-7.99E-07,0.240001,-7.99E-07,-0.199999,4.6E-08
-9.98E-07,-0.04,-9.98E-07,0.00799943,-7.98E-07,0.00799943,-7.98E-07,-0.0480006,-7.98E-07,0.0239994,-7.98E-07,0.320001,-7.98E-07,-0.279999,0.004800046
-9.98E-07,-0.05,-9.98E-07,-0.0160006,-7.98E-07,0.00799943,-7.98E-07,-0.0240006,-7.98E-07,0.0479994,-7.98E-07,0.240001,-7.98E-07,-0.239999,0.006400046
-9.98E-07,0.01,-9.98E-07,0.0719994,-7.98E-07,0.0319994,-7.98E-07,-0.0640006,-7.98E-07,0.0399994,-7.98E-07,0.280001,-7.98E-07,-0.0799987,0.0416001
-9.97E-07,-0.04,-9.97E-07,-0.00800057,-7.97E-07,-0.0320006,-7.97E-07,-0.0160006,-7.97E-07,0.0639994,-7.97E-07,0.240001,-7.97E-07,-0.159999,0.01920004
-9.97E-07,-0.01,-9.97E-07,0.00799943,-7.97E-07,0.0399994,-7.97E-07,-0.0720006,-7.97E-07,0.0479994,-7.97E-07,0.280001,-7.97E-07,-0.319999,-0.00479996
-9.96E-07,-0.07,-9.96E-07,-0.0800006,-7.96E-07,0.0319994,-7.96E-07,-0.0720006,-7.96E-07,0.00799943,-7.96E-07,0.280001,-7.96E-07,-0.199999,0.009600046
-9.96E-07,-0.04,-9.96E-07,-0.0320006,-7.96E-07,-0.0160006,-7.96E-07,0.00799943,-7.96E-07,-0.00800057,-7.96E-07,0.200001,-7.96E-07,-0.0799987,0.020800112
-9.96E-07,-0.06,-9.96E-07,-0.00800057,-7.96E-07,0.0159994,-7.96E-07,-0.0240006,-7.96E-07,-5.70E-07,-7.96E-07,0.320001,-7.96E-07,-0.319999,-0.001599954
-9.95E-07,-0.06,-9.95E-07,-0.0240006,-7.95E-07,0.0559994,-7.95E-07,-0.0400006,-7.95E-07,0.0399994,-7.95E-07,0.200001,-7.95E-07,-0.279999,-0.00479996
-9.95E-07,-0.05,-9.95E-07,-0.0240006,-7.95E-07,-0.0400006,-7.95E-07,-0.0560006,-7.95E-07,-0.00800057,-7.95E-07,0.120001,-7.95E-07,-0.119999,-0.020799954
-9.94E-07,0,-9.94E-07,0.00799943,-7.94E-07,-0.0560006,-7.94E-07,-0.0800006,-7.94E-07,0.0639994,-7.94E-07,0.240001,-7.94E-07,-0.279999,-0.02239996
-9.94E-07,-0.03,-9.94E-07,0.00799943,-7.94E-07,0.0399994,-7.94E-07,-0.0240006,-7.94E-07,-0.0240006,-7.94E-07,0.160001,-7.94E-07,-0.199999,-0.00959996
-9.94E-07,0,-9.94E-07,-5.70E-07,-7.94E-07,0.0319994,-7.94E-07,-0.0480006,-7.94E-07,0.0479994,-7.94E-07,0.280001,-7.94E-07,-0.359999,-0.00959996
