time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,-0.03,-1.00E-06,0.00599986,-8.00E-07,0.0159999,-8.00E-07,-0.0180001,-8.00E-07,0.0139999,-8.00E-07,0.0799994,-8.00E-07,-0.0160006,0.0151997
-1.00E-06,-0.04,-1.00E-06,0.00999986,-8.00E-07,0.0139999,-8.00E-07,-0.0180001,-8.00E-07,-0.00200014,-8.00E-07,0.0399994,-8.00E-07,-0.00800057,0.005199698
-9.99E-07,0.03,-9.99E-07,-0.00400014,-7.99E-07,0.0139999,-7.99E-07,-0.0140001,-7.99E-07,-0.00600014,-7.99E-07,0.111999,-7.99E-07,-0.0320006,0.014799612
-9.99E-07,-0.02,-9.99E-07,0.00999986,-7.99E-07,0.00999986,-7.99E-07,-0.0220001,-7.99E-07,0.00399986,-7.99E-07,0.0559994,-7.99E-07,-5.70E-07,0.00959969
-9.98E-07,-0.03,-9.98E-07,-1.42E-07,-7.98E-07,0.00799986,-7.98E-07,-0.0100001,-7.98E-07,0.00599986,-7.98E-07,0.0399994,-7.98E-07,-0.0320006,0.002399684
-9.98E-07,0.05,-9.98E-07,0.0139999,-7.98E-07,0.0159999,-7.98E-07,-0.0100001,-7.98E-07,0.00599986,-7.98E-07,0.103999,-7.98E-07,-0.00800057,0.021599618
-9.98E-07,0,-9.98E-07,0.00199986,-7.98E-07,0.0139999,-7.98E-07,-0.00800014,-7.98E-07,-0.00400014,-7.98E-07,-0.0160006,-7.98E-07,0.0559994,0.008399684
-9.97E-07,0.05,-9.97E-07,0.00599986,-7.97E-07,0.00999986,-7.97E-07,-0.0140001,-7.97E-07,-0.00200014,-7.97E-07,0.0479994,-7.97E-07,-0.0400006,0.000399684
-9.97E-07,-0.01,-9.97E-07,0.00399986,-7.97E-07,0.0119999,-7.97E-07,-0.0120001,-7.97E-07,0.00799986,-7.97E-07,-0.0160006,-7.97E-07,-0.0240006,-0.006400308
-9.96E-07,0,-9.96E-07,0.00399986,-7.96E-07,-1.42E-07,-7.96E-07,-0.00800014,-7.96E-07,-0.00200014,-7.96E-07,0.0399994,-7.96E-07,-0.0400006,-0.002000324
