time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.004,-1.00E-06,-0.00799992,-8.00E-07,-0.00399992,-8.00E-07,-0.00879992,-8.00E-07,0.0152001,-8.00E-07,0.0119999,-8.00E-07,0.0219999,0.007280012
-1.00E-06,-0.016,-1.00E-06,-0.00879992,-8.00E-07,-0.00639992,-8.00E-07,-0.0151999,-8.00E-07,0.0120001,-8.00E-07,0.0119999,-8.00E-07,0.0259999,0.005680016
-9.99E-07,0.024,-9.99E-07,-0.00159992,-7.99E-07,0.00240008,-7.99E-07,-0.00319992,-7.99E-07,0.0136001,-7.99E-07,0.00799986,-7.99E-07,0.0199999,0.008160004
-9.99E-07,-0.012,-9.99E-07,-0.000799922,-7.99E-07,7.80E-08,-7.99E-07,-0.00799992,-7.99E-07,0.0208001,-7.99E-07,0.0159999,-7.99E-07,0.0239999,0.010560012
-9.98E-07,0.04,-9.98E-07,-0.00559992,-7.98E-07,-0.00639992,-7.98E-07,-0.00399992,-7.98E-07,0.0104001,-7.98E-07,0.00199986,-7.98E-07,0.0179999,0.004000004
-9.98E-07,-0.024,-9.98E-07,7.80E-08,-7.98E-07,-0.00239992,-7.98E-07,-0.00639992,-7.98E-07,0.0104001,-7.98E-07,0.0119999,-7.98E-07,0.0239999,0.007520012
-9.98E-07,-0.012,-9.98E-07,-0.00879992,-7.98E-07,0.00160008,-7.98E-07,-0.00479992,-7.98E-07,0.0120001,-7.98E-07,0.0179999,-7.98E-07,0.0259999,0.010560012
-9.97E-07,-0.004,-9.97E-07,-0.00319992,-7.97E-07,0.00400008,-7.97E-07,-0.00479992,-7.97E-07,0.00400008,-7.97E-07,0.0119999,-7.97E-07,0.0219999,0.007440008
-9.97E-07,0.036,-9.97E-07,-0.00319992,-7.97E-07,-0.00399992,-7.97E-07,-0.00479992,-7.97E-07,0.00640008,-7.97E-07,0.0139999,-7.97E-07,0.0139999,0.005120008
-9.96E-07,-0.016,-9.96E-07,-0.00159992,-7.96E-07,-0.00639992,-7.96E-07,-0.00319992,-7.96E-07,0.00480008,-7.96E-07,0.0219999,-7.96E-07,0.0139999,0.006240008
-9.96E-07,0.04,-9.96E-07,-0.00399992,-7.96E-07,-0.00559992,-7.96E-07,-0.0119999,-7.96E-07,0.0168001,-7.96E-07,0.0119999,-7.96E-07,0.0239999,0.007040016
-9.96E-07,0.016,-9.96E-07,-0.00559992,-7.96E-07,-0.00159992,-7.96E-07,-0.00959992,-7.96E-07,0.00800008,-7.96E-07,0.0159999,-7.96E-07,0.0139999,0.005360008
-9.95E-07,0.028,-9.95E-07,0.00240008,-7.95E-07,-0.000799922,-7.95E-07,-0.00239992,-7.95E-07,0.0168001,-7.95E-07,0.0139999,-7.95E-07,0.0139999,0.008320012
-9.95E-07,0.016,-9.95E-07,-0.00719992,-7.95E-07,-0.00239992,-7.95E-07,-0.00959992,-7.95E-07,0.0128001,-7.95E-07,0.0219999,-7.95E-07,0.0199999,0.008560012
-9.94E-07,0.016,-9.94E-07,-0.000799922,-7.94E-07,-0.00159992,-7.94E-07,-0.00319992,-7.94E-07,0.00720008,-7.94E-07,0.0139999,-7.94E-07,0.0239999,0.008080008
-9.94E-07,-0.02,-9.94E-07,-0.00639992,-7.94E-07,-0.000799922,-7.94E-07,-0.0111999,-7.94E-07,0.0104001,-7.94E-07,0.00799986,-7.94E-07,0.0259999,0.006480008
-9.94E-07,0.008,-9.94E-07,-0.00239992,-7.94E-07,-0.000799922,-7.94E-07,-0.0103999,-7.94E-07,0.00720008,-7.94E-07,0.00799986,-7.94E-07,0.0179999,0.004400004
