time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-8.00E-07,0,-8.00E-07,-0.00399992,-8.00E-07,0.00240008,-8.00E-07,-0.00799992,-8.00E-07,0.0136001,-8.00E-07,-0.00200014,-8.00E-07,0.00799986,0.002799996
-8.00E-07,-0.04,-8.00E-07,-0.00159992,-8.00E-07,0.00560008,-8.00E-07,-0.00559992,-8.00E-07,0.0168001,-8.00E-07,0.0139999,-8.00E-07,0.0199999,0.010160012
-7.99E-07,-0.02,-7.99E-07,0.00160008,-7.99E-07,-0.00479992,-7.99E-07,-0.00559992,-7.99E-07,0.0128001,-7.99E-07,0.00399986,-7.99E-07,0.0219999,0.005680004
-7.99E-07,-0.02,-7.99E-07,0.00240008,-7.99E-07,-0.00319992,-7.99E-07,-0.0111999,-7.99E-07,0.00320008,-7.99E-07,0.0159999,-7.99E-07,0.0319999,0.007360012
-7.98E-07,0.02,-7.98E-07,0.00800008,-7.98E-07,0.00320008,-7.98E-07,-0.00639992,-7.98E-07,0.00400008,-7.98E-07,-1.42E-07,-7.98E-07,0.0279999,0.00576
-7.98E-07,0,-7.98E-07,-0.00479992,-7.98E-07,-0.00159992,-7.98E-07,-0.00639992,-7.98E-07,0.0152001,-7.98E-07,-0.00200014,-7.98E-07,0.0199999,0.005040004
-7.98E-07,0,-7.98E-07,7.80E-08,-7.98E-07,-0.00639992,-7.98E-07,-0.00479992,-7.98E-07,0.0128001,-7.98E-07,0.00399986,-7.98E-07,0.0139999,0.003920004
-7.97E-07,0.04,-7.97E-07,0.00160008,-7.97E-07,7.80E-08,-7.97E-07,-0.0103999,-7.97E-07,0.00240008,-7.97E-07,-1.42E-07,-7.97E-07,0.0239999,0.003200003
-7.97E-07,0.04,-7.97E-07,-0.000799922,-7.97E-07,-0.00399992,-7.97E-07,-0.0111999,-7.97E-07,0.00800008,-7.97E-07,0.00399986,-7.97E-07,0.00799986,0.000959996
-7.96E-07,0.05,-7.96E-07,0.00480008,-7.96E-07,-0.00639992,-7.96E-07,-0.00159992,-7.96E-07,0.00640008,-7.96E-07,0.00999986,-7.96E-07,0.0139999,0.00448
-7.96E-07,0.04,-7.96E-07,0.00400008,-7.96E-07,0.00160008,-7.96E-07,-0.00799992,-7.96E-07,0.00800008,-7.96E-07,0.0179999,-7.96E-07,0.0159999,0.007120008
-7.96E-07,0.05,-7.96E-07,0.00320008,-7.96E-07,-0.00559992,-7.96E-07,-0.00879992,-7.96E-07,0.00160008,-7.96E-07,0.0179999,-7.96E-07,0.0239999,0.005840008
-7.95E-07,0.04,-7.95E-07,7.80E-08,-7.95E-07,0.00320008,-7.95E-07,-0.00719992,-7.95E-07,0.00640008,-7.95E-07,0.00199986,-7.95E-07,0.0259999,0.00608
-7.95E-07,0.02,-7.95E-07,0.00320008,-7.95E-07,-0.00479992,-7.95E-07,-0.00719992,-7.95E-07,0.00800008,-7.95E-07,0.00399986,-7.95E-07,0.0159999,0.0032
-7.94E-07,0.03,-7.94E-07,0.00400008,-7.94E-07,7.80E-08,-7.94E-07,-0.00719992,-7.94E-07,0.0128001,-7.94E-07,0.0139999,-7.94E-07,0.0159999,0.007120012
-7.94E-07,0.02,-7.94E-07,0.00800008,-7.94E-07,0.00160008,-7.94E-07,-0.00319992,-7.94E-07,0.00960008,-7.94E-07,0.0139999,-7.94E-07,0.0219999,0.008800008
