time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.001,-1.00E-06,0.00120004,-8.00E-07,0.000800039,-8.00E-07,0.00240004,-8.00E-07,0.00400004,-8.00E-07,0.0136001,-8.00E-07,0.0112001,0.006400064
-9.98E-07,0.005,-9.98E-07,0.000400039,-8.00E-07,0.00120004,-8.00E-07,0.00320004,-8.00E-07,0.00160004,-8.00E-07,0.00800008,-8.00E-07,0.0128001,0.00536006
-9.96E-07,0.002,-9.96E-07,-0.000399961,-7.99E-07,0.000800039,-7.99E-07,0.00360004,-7.99E-07,0.000800039,-7.99E-07,0.0128001,-7.99E-07,0.0136001,0.006320064
-9.94E-07,0.001,-9.94E-07,3.90E-08,-7.99E-07,0.00160004,-7.99E-07,0.00320004,-7.99E-07,0.000400039,-7.99E-07,0.00560008,-7.99E-07,0.0160001,0.00536006
-9.92E-07,0.002,-9.92E-07,0.000400039,-7.98E-07,-0.000399961,-7.98E-07,0.00320004,-7.98E-07,0.00440004,-7.98E-07,0.0112001,-7.98E-07,0.0144001,0.006560064
-9.90E-07,0,-9.90E-07,-0.00119996,-7.98E-07,0.000400039,-7.98E-07,3.90E-08,-7.98E-07,0.00360004,-7.98E-07,0.00800008,-7.98E-07,0.0112001,0.00464006
-9.88E-07,0.001,-9.88E-07,-0.00119996,-7.98E-07,0.00280004,-7.98E-07,0.00200004,-7.98E-07,0.00240004,-7.98E-07,0.00800008,-7.98E-07,0.00560008,0.004160056
-9.86E-07,0.004,-9.86E-07,-0.00199996,-7.97E-07,0.000800039,-7.97E-07,0.00120004,-7.97E-07,0.000400039,-7.97E-07,0.00720008,-7.97E-07,0.0112001,0.00416006
-9.84E-07,-0.003,-9.84E-07,3.90E-08,-7.97E-07,3.90E-08,-7.97E-07,0.00120004,-7.97E-07,0.00160004,-7.97E-07,0.00240008,-7.97E-07,0.0152001,0.00408006
-9.82E-07,-0.001,-9.82E-07,-0.000399961,-7.96E-07,0.000800039,-7.96E-07,0.00160004,-7.96E-07,-0.000399961,-7.96E-07,7.80E-08,-7.96E-07,0.00320008,0.001040055
-9.80E-07,-0.004,-9.80E-07,-0.000399961,-7.96E-07,0.000800039,-7.96E-07,0.00440004,-7.96E-07,-0.000399961,-7.96E-07,0.00560008,-7.96E-07,0.00400008,0.002880056
-9.78E-07,-0.001,-9.78E-07,-0.00319996,-7.96E-07,-0.00159996,-7.96E-07,3.90E-08,-7.96E-07,0.000800039,-7.96E-07,0.00640008,-7.96E-07,0.00160008,0.001440056
-9.76E-07,-0.002,-9.76E-07,-0.00119996,-7.95E-07,0.000400039,-7.95E-07,0.00200004,-7.95E-07,0.00320004,-7.95E-07,0.00720008,-7.95E-07,0.00480008,0.003520056
-9.74E-07,0.001,-9.74E-07,0.00120004,-7.95E-07,3.90E-08,-7.95E-07,0.000400039,-7.95E-07,0.00160004,-7.95E-07,0.00640008,-7.95E-07,0.00400008,0.002480056
-9.72E-07,-0.004,-9.72E-07,-0.000799961,-7.94E-07,0.00280004,-7.94E-07,0.00240004,-7.94E-07,0.00280004,-7.94E-07,0.00880008,-7.94E-07,0.00720008,0.004800056
-9.70E-07,0.001,-9.70E-07,-0.00159996,-7.94E-07,0.000800039,-7.94E-07,0.00160004,-7.94E-07,0.00240004,-7.94E-07,0.00800008,-7.94E-07,0.00480008,0.003520056
-9.68E-07,0,-9.68E-07,0.000800039,-7.94E-07,0.00120004,-7.94E-07,0.00120004,-7.94E-07,0.00400004,-7.94E-07,0.0112001,-7.94E-07,0.0104001,0.005600064
-9.66E-07,0.002,-9.66E-07,0.000400039,-7.93E-07,3.90E-08,-7.93E-07,0.00120004,-7.93E-07,0.00160004,-7.93E-07,0.0120001,-7.93E-07,0.0104001,0.005040064
-9.64E-07,0.004,-9.64E-07,0.000800039,-7.93E-07,0.00200004,-7.93E-07,0.00280004,-7.93E-07,0.000400039,-7.93E-07,0.00960008,-7.93E-07,0.00720008,0.004400056
-9.62E-07,-0.001,-9.62E-07,-0.00119996,-7.92E-07,0.000800039,-7.92E-07,0.00280004,-7.92E-07,0.000400039,-7.92E-07,-0.000799922,-7.92E-07,0.0136001,0.003360059
-9.60E-07,0.001,-9.60E-07,0.00240004,-7.92E-07,0.000400039,-7.92E-07,0.00400004,-7.92E-07,0.00280004,-7.92E-07,0.0104001,-7.92E-07,0.0152001,0.006560064
