time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.01,-1.00E-06,-0.0400006,-8.00E-07,0.0399994,-8.00E-07,-0.0480006,-8.00E-07,0.00799943,-8.00E-07,0.280001,-8.00E-07,-0.199999,0.016000046
-1.00E-06,0.05,-1.00E-06,-0.0640006,-8.00E-07,0.0239994,-8.00E-07,0.0719994,-8.00E-07,0.0239994,-8.00E-07,0.480001,-8.00E-07,-0.199999,0.08000004
-9.99E-07,0.03,-9.99E-07,-0.0720006,-7.99E-07,0.0719994,-7.99E-07,-0.0160006,-7.99E-07,-5.70E-07,-7.99E-07,0.240001,-7.99E-07,-0.319999,-0.004799954
-9.99E-07,0.06,-9.99E-07,-0.0560006,-7.99E-07,0.00799943,-7.99E-07,-0.0240006,-7.99E-07,0.0879994,-7.99E-07,0.200001,-7.99E-07,-0.279999,-0.001599954
-9.98E-07,0.05,-9.98E-07,-0.0560006,-7.98E-07,0.0399994,-7.98E-07,-0.0560006,-7.98E-07,0.0719994,-7.98E-07,0.360001,-7.98E-07,-0.119999,0.05920004
-9.98E-07,0.03,-9.98E-07,-0.0160006,-7.98E-07,0.0479994,-7.98E-07,0.0559994,-7.98E-07,0.0399994,-7.98E-07,0.280001,-7.98E-07,-0.159999,0.05280004
-9.98E-07,-0.01,-9.98E-07,-5.70E-07,-7.98E-07,0.0719994,-7.98E-07,-0.0240006,-7.98E-07,0.0879994,-7.98E-07,0.360001,-7.98E-07,-0.319999,0.03520004
-9.97E-07,0.02,-9.97E-07,0.00799943,-7.97E-07,0.0239994,-7.97E-07,0.0319994,-7.97E-07,0.00799943,-7.97E-07,0.240001,-7.97E-07,-0.359999,-0.011199954
-9.97E-07,-0.04,-9.97E-07,0.0159994,-7.97E-07,-0.0240006,-7.97E-07,0.0159994,-7.97E-07,0.00799943,-7.97E-07,0.120001,-7.97E-07,-0.159999,-0.007999954
-9.96E-07,-0.01,-9.96E-07,-0.0240006,-7.96E-07,-0.0240006,-7.96E-07,-0.00800057,-7.96E-07,0.0639994,-7.96E-07,0.0800013,-7.96E-07,-0.199999,-0.017599894
-9.96E-07,-0.04,-9.96E-07,-0.0240006,-7.96E-07,0.0239994,-7.96E-07,-0.00800057,-7.96E-07,-0.0480006,-7.96E-07,0.360001,-7.96E-07,-0.159999,0.033600046
-9.96E-07,-0.02,-9.96E-07,-0.0720006,-7.96E-07,0.0159994,-7.96E-07,-0.0720006,-7.96E-07,0.0479994,-7.96E-07,0.0800013,-7.96E-07,-0.279999,-0.0415999
-9.95E-07,-0.05,-9.95E-07,-0.00800057,-7.95E-07,-0.0240006,-7.95E-07,0.0159994,-7.95E-07,0.0479994,-7.95E-07,0.320001,-7.95E-07,-0.239999,0.02400004
-9.95E-07,-0.07,-9.95E-07,-0.0320006,-7.95E-07,0.0399994,-7.95E-07,0.0479994,-7.95E-07,0.0159994,-7.95E-07,0.160001,-7.95E-07,-0.0799987,0.0368001
-9.94E-07,-0.09,-9.94E-07,-0.0240006,-7.94E-07,0.0479994,-7.94E-07,0.0239994,-7.94E-07,0.111999,-7.94E-07,0.520001,-7.94E-07,-0.479999,0.04479996
-9.94E-07,-0.11,-9.94E-07,0.0399994,-7.94E-07,0.119999,-7.94E-07,-0.00800057,-7.94E-07,0.0559994,-7.94E-07,0.120001,-7.94E-07,-0.159999,0.025599966
-9.94E-07,-0.04,-9.94E-07,-0.0800006,-7.94E-07,0.0239994,-7.94E-07,0.0239994,-7.94E-07,0.0639994,-7.94E-07,0.200001,-7.94E-07,-0.119999,0.03840004
-9.93E-07,-0.07,-9.93E-07,-0.0560006,-7.93E-07,0.0959994,-7.93E-07,-0.0480006,-7.93E-07,0.0639994,-7.93E-07,0.0400013,-7.93E-07,-0.159999,-0.0015999
-9.93E-07,-0.04,-9.93E-07,-0.0640006,-7.93E-07,0.0639994,-7.93E-07,0.0399994,-7.93E-07,0.0479994,-7.93E-07,0.160001,-7.93E-07,-0.239999,0.01440004
-9.92E-07,0.02,-9.92E-07,-0.0240006,-7.92E-07,0.0239994,-7.92E-07,-0.0240006,-7.92E-07,0.0799994,-7.92E-07,0.200001,-7.92E-07,-0.119999,0.03200004
-9.92E-07,-0.03,-9.92E-07,-0.0400006,-7.92E-07,0.00799943,-7.92E-07,-0.0480006,-7.92E-07,0.0879994,-7.92E-07,0.120001,-7.92E-07,-0.199999,-0.006399954
-9.92E-07,0.04,-9.92E-07,-0.00800057,-7.92E-07,0.00799943,-7.92E-07,-0.0160006,-7.92E-07,0.0559994,-7.92E-07,0.120001,-7.92E-07,-0.0799987,0.017600106
-9.91E-07,0.05,-9.91E-07,0.0399994,-7.91E-07,-0.0240006,-7.91E-07,-0.00800057,-7.91E-07,0.0879994,-7.91E-07,0.320001,-7.91E-07,-0.439999,-0.012799954
-9.91E-07,0.11,-9.91E-07,-0.0560006,-7.91E-07,0.0559994,-7.91E-07,-0.0400006,-7.91E-07,0.0799994,-7.91E-07,0.200001,-7.91E-07,-0.279999,0.00320004
