time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-1.00E-05,-0.008,-1.00E-05,-0.00239992,-8.00E-07,-0.00399992,-8.00E-07,-0.00799992,-8.00E-07,0.0128001,-8.00E-07,0.0159999,-8.00E-07,0.0199999
-1.00E-05,0.004,-1.00E-05,0.00320008,-8.00E-07,0.00160008,-8.00E-07,-0.00719992,-8.00E-07,0.0184001,-8.00E-07,0.00599986,-8.00E-07,0.0139999
-1.00E-05,0.006,-1.00E-05,0.00240008,-7.99E-07,-0.000799922,-7.99E-07,-0.0167999,-7.99E-07,0.0144001,-7.99E-07,0.00399986,-7.99E-07,0.00599986
-9.99E-06,0.004,-9.99E-06,-0.00239992,-7.99E-07,7.80E-08,-7.99E-07,-0.00879992,-7.99E-07,0.0112001,-7.99E-07,-0.00200014,-7.99E-07,0.0199999
-9.99E-06,0.002,-9.99E-06,-0.00639992,-7.98E-07,-0.00479992,-7.98E-07,-0.00719992,-7.98E-07,0.0144001,-7.98E-07,0.0139999,-7.98E-07,0.0179999
-9.99E-06,0.004,-9.99E-06,7.80E-08,-7.98E-07,7.80E-08,-7.98E-07,-0.0183999,-7.98E-07,0.0112001,-7.98E-07,0.00999986,-7.98E-07,0.0219999
-9.99E-06,0.002,-9.99E-06,-0.00239992,-7.98E-07,-0.00159992,-7.98E-07,-0.00719992,-7.98E-07,0.0112001,-7.98E-07,0.0119999,-7.98E-07,0.00199986
-9.99E-06,-0.002,-9.99E-06,0.000800078,-7.97E-07,-0.00399992,-7.97E-07,-0.0119999,-7.97E-07,0.0176001,-7.97E-07,0.0139999,-7.97E-07,0.00999986
-9.98E-06,0,-9.98E-06,-0.00479992,-7.97E-07,0.00480008,-7.97E-07,-0.00639992,-7.97E-07,0.0128001,-7.97E-07,0.0179999,-7.97E-07,0.0199999
-9.98E-06,0.006,-9.98E-06,0.00720008,-7.96E-07,0.00240008,-7.96E-07,-0.0151999,-7.96E-07,0.0208001,-7.96E-07,0.00799986,-7.96E-07,0.0119999
-9.98E-06,0.008,-9.98E-06,0.00240008,-7.96E-07,-0.00319992,-7.96E-07,-0.00719992,-7.96E-07,0.0192001,-7.96E-07,0.00199986,-7.96E-07,0.00599986
-9.98E-06,0.002,-9.98E-06,-0.00159992,-7.96E-07,-0.00559992,-7.96E-07,-0.00559992,-7.96E-07,0.0120001,-7.96E-07,0.00599986,-7.96E-07,0.0299999
-9.98E-06,-0.002,-9.98E-06,0.00560008,-7.95E-07,-0.00399992,-7.95E-07,-0.0103999,-7.95E-07,0.0144001,-7.95E-07,0.00799986,-7.95E-07,0.0259999
-9.97E-06,-0.006,-9.97E-06,0.000800078,-7.95E-07,0.00240008,-7.95E-07,-0.00799992,-7.95E-07,0.00640008,-7.95E-07,0.00599986,-7.95E-07,0.0279999
