time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.008,-1.00E-06,-0.0120001,-8.00E-07,0.00799986,-8.00E-07,-0.00600014,-8.00E-07,-0.00800014,-8.00E-07,0.0239997,-8.00E-07,-0.00400029,0.002799798
-1.00E-06,-0.024,-1.00E-06,-0.00400014,-8.00E-07,-0.00200014,-8.00E-07,-0.0140001,-8.00E-07,-1.42E-07,-8.00E-07,0.00399972,-8.00E-07,0.0399997,0.005599808
-9.99E-07,0.032,-9.99E-07,-0.00400014,-7.99E-07,0.00999986,-7.99E-07,-0.0120001,-7.99E-07,-0.00400014,-7.99E-07,0.0159997,-7.99E-07,0.0319997,0.008399804
-9.98E-07,0.02,-9.98E-07,-0.00400014,-7.99E-07,0.0139999,-7.99E-07,-0.0120001,-7.99E-07,-0.00200014,-7.99E-07,0.00799972,-7.99E-07,0.0199997,0.005599816
-9.97E-07,0.008,-9.97E-07,-0.00200014,-7.98E-07,0.0179999,-7.98E-07,-0.0140001,-7.98E-07,-0.00200014,-7.98E-07,0.0239997,-7.98E-07,0.0239997,0.009999812
-9.96E-07,0.008,-9.96E-07,-0.00600014,-7.98E-07,0.00999986,-7.98E-07,-0.0100001,-7.98E-07,0.0119999,-7.98E-07,0.0199997,-7.98E-07,0.0119997,0.008799812
-9.96E-07,-0.016,-9.96E-07,0.00599986,-7.98E-07,0.00799986,-7.98E-07,-0.00200014,-7.98E-07,0.0119999,-7.98E-07,0.0239997,-7.98E-07,0.0359997,0.015599804
-9.95E-07,-0.004,-9.95E-07,0.00999986,-7.97E-07,0.00599986,-7.97E-07,-0.0120001,-7.97E-07,0.00199986,-7.97E-07,0.0239997,-7.97E-07,0.0159997,0.007199804
-9.94E-07,-0.02,-9.94E-07,0.00399986,-7.97E-07,0.0139999,-7.97E-07,-0.00200014,-7.97E-07,0.00199986,-7.97E-07,0.00799972,-7.97E-07,0.0119997,0.006799808
-9.93E-07,0.004,-9.93E-07,-0.00200014,-7.96E-07,0.0119999,-7.96E-07,-0.0120001,-7.96E-07,-1.42E-07,-7.96E-07,0.0159997,-7.96E-07,0.0159997,0.006399812
-9.92E-07,-0.004,-9.92E-07,0.00799986,-7.96E-07,-0.00400014,-7.96E-07,-0.00200014,-7.96E-07,0.0139999,-7.96E-07,0.00799972,-7.96E-07,0.0159997,0.006399808
-9.92E-07,-0.008,-9.92E-07,-0.00800014,-7.96E-07,0.0159999,-7.96E-07,-0.0100001,-7.96E-07,0.00799986,-7.96E-07,0.0239997,-7.96E-07,-0.00800029,0.005999814
-9.91E-07,0.044,-9.91E-07,0.00199986,-7.95E-07,0.00399986,-7.95E-07,-0.0160001,-7.95E-07,0.00399986,-7.95E-07,0.0279997,-7.95E-07,0.0119997,0.006399804
-9.90E-07,-0.008,-9.90E-07,0.00999986,-7.95E-07,0.0119999,-7.95E-07,-0.0100001,-7.95E-07,-0.00400014,-7.95E-07,0.0199997,-7.95E-07,-0.0120003,0.001199812
-9.89E-07,0.02,-9.89E-07,0.00799986,-7.94E-07,0.0179999,-7.94E-07,-0.0140001,-7.94E-07,0.00799986,-7.94E-07,0.0279997,-7.94E-07,0.0159997,0.011199812
-9.88E-07,0.008,-9.88E-07,-1.42E-07,-7.94E-07,0.0179999,-7.94E-07,-0.00800014,-7.94E-07,0.00599986,-7.94E-07,0.0279997,-7.94E-07,0.0239997,0.013599804
-9.88E-07,-0.016,-9.88E-07,0.00999986,-7.94E-07,0.0139999,-7.94E-07,-0.00200014,-7.94E-07,0.00199986,-7.94E-07,0.0279997,-7.94E-07,0.00799972,0.009999808
