time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-1.00E-05,-0.008,-1.00E-05,0.0119997,-8.00E-07,0.0239997,-8.00E-07,0.00799972,-8.00E-07,0.0239997,-8.00E-07,0.0879994,-8.00E-07,-5.70E-07
-1.00E-05,-0.004,-1.00E-05,0.0319997,-8.00E-07,0.00399972,-8.00E-07,0.00399972,-8.00E-07,0.0199997,-8.00E-07,0.151999,-8.00E-07,-0.0560006
-1.00E-05,0.024,-1.00E-05,0.0199997,-7.99E-07,0.0279997,-7.99E-07,-0.00400029,-7.99E-07,0.00399972,-7.99E-07,0.0719994,-7.99E-07,-5.70E-07
-1.00E-05,0.012,-1.00E-05,0.0159997,-7.99E-07,0.00399972,-7.99E-07,-0.0240003,-7.99E-07,0.0319997,-7.99E-07,0.0879994,-7.99E-07,-5.70E-07
-1.00E-05,0.012,-1.00E-05,-0.0120003,-7.98E-07,-0.00400029,-7.98E-07,0.00399972,-7.98E-07,0.0319997,-7.98E-07,0.135999,-7.98E-07,0.0239994
-1.00E-05,0.04,-1.00E-05,0.0319997,-7.98E-07,0.0119997,-7.98E-07,-0.00400029,-7.98E-07,0.0279997,-7.98E-07,0.0799994,-7.98E-07,0.0399994
-1.00E-05,0.008,-1.00E-05,0.0239997,-7.98E-07,-2.85E-07,-7.98E-07,-2.85E-07,-7.98E-07,0.00799972,-7.98E-07,0.0559994,-7.98E-07,0.00799943
-1.00E-05,0.04,-1.00E-05,-2.85E-07,-7.97E-07,0.0159997,-7.97E-07,-0.0120003,-7.97E-07,0.0319997,-7.97E-07,0.103999,-7.97E-07,0.0159994
-1.00E-05,-0.016,-1.00E-05,0.00399972,-7.97E-07,0.00399972,-7.97E-07,-0.00400029,-7.97E-07,0.0359997,-7.97E-07,0.0879994,-7.97E-07,-0.0160006
-1.00E-05,-0.004,-1.00E-05,0.0239997,-7.96E-07,0.0119997,-7.96E-07,-0.00400029,-7.96E-07,0.0159997,-7.96E-07,0.0959994,-7.96E-07,-0.0560006
-1.00E-05,0.012,-1.00E-05,-0.0120003,-7.96E-07,-0.00400029,-7.96E-07,-0.0120003,-7.96E-07,0.0119997,-7.96E-07,0.0959994,-7.96E-07,-0.0400006
-1.00E-05,-0.012,-1.00E-05,0.0119997,-7.96E-07,-2.85E-07,-7.96E-07,-0.0120003,-7.96E-07,0.0239997,-7.96E-07,0.0719994,-7.96E-07,0.0799994
-1.00E-05,0.004,-1.00E-05,0.00399972,-7.95E-07,0.0199997,-7.95E-07,0.0239997,-7.95E-07,0.0319997,-7.95E-07,0.143999,-7.95E-07,0.00799943
-9.99E-06,0.028,-9.99E-06,0.0119997,-7.95E-07,0.0199997,-7.95E-07,-0.0120003,-7.95E-07,0.0239997,-7.95E-07,0.0879994,-7.95E-07,0.0239994
-9.99E-06,0.008,-9.99E-06,0.00799972,-7.94E-07,0.0159997,-7.94E-07,-0.00800029,-7.94E-07,0.00399972,-7.94E-07,0.103999,-7.94E-07,0.00799943
-9.99E-06,0,-9.99E-06,0.0199997,-7.94E-07,0.00799972,-7.94E-07,-0.0160003,-7.94E-07,0.0199997,-7.94E-07,0.0719994,-7.94E-07,-5.70E-07
-9.99E-06,0.032,-9.99E-06,0.0119997,-7.94E-07,0.00799972,-7.94E-07,-2.85E-07,-7.94E-07,0.0239997,-7.94E-07,0.0479994,-7.94E-07,0.0559994
-9.99E-06,-0.004,-9.99E-06,0.00399972,-7.93E-07,0.0239997,-7.93E-07,0.00799972,-7.93E-07,0.0199997,-7.93E-07,0.127999,-7.93E-07,-5.70E-07
-9.99E-06,0.012,-9.99E-06,-2.85E-07,-7.93E-07,0.0199997,-7.93E-07,0.00399972,-7.93E-07,0.0159997,-7.93E-07,0.103999,-7.93E-07,-0.00800057
-9.99E-06,-0.004,-9.99E-06,0.0199997,-7.92E-07,-2.85E-07,-7.92E-07,-0.00800029,-7.92E-07,0.0119997,-7.92E-07,0.0799994,-7.92E-07,0.0319994
-9.99E-06,0.024,-9.99E-06,0.0279997,-7.92E-07,-0.00400029,-7.92E-07,0.00399972,-7.92E-07,0.0279997,-7.92E-07,0.0559994,-7.92E-07,0.0319994
-9.99E-06,0.016,-9.99E-06,0.0279997,-7.92E-07,0.00799972,-7.92E-07,-0.0120003,-7.92E-07,0.0199997,-7.92E-07,0.119999,-7.92E-07,0.103999
-9.99E-06,0.012,-9.99E-06,0.00399972,-7.91E-07,-0.00800029,-7.91E-07,-2.85E-07,-7.91E-07,0.0119997,-7.91E-07,0.0559994,-7.91E-07,0.0719994
-9.99E-06,0,-9.99E-06,0.00799972,-7.91E-07,0.00399972,-7.91E-07,-0.00400029,-7.91E-07,0.0159997,-7.91E-07,0.0319994,-7.91E-07,0.0319994
-9.99E-06,0.008,-9.99E-06,-2.85E-07,-7.90E-07,-0.00800029,-7.90E-07,0.0119997,-7.90E-07,0.0479997,-7.90E-07,0.0799994,-7.90E-07,0.0559994
-9.99E-06,0.02,-9.99E-06,-2.85E-07,-7.90E-07,0.0159997,-7.90E-07,-0.0120003,-7.90E-07,0.0199997,-7.90E-07,0.111999,-7.90E-07,-0.00800057
