time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.006,-1.00E-06,-0.0240006,-8.00E-07,0.0559994,-8.00E-07,-0.0400006,-8.00E-07,0.111999,-8.00E-07,0.280001,-8.00E-07,-0.119999,0.05759996
-1.00E-06,0.002,-1.00E-06,-0.0160006,-8.00E-07,0.0399994,-8.00E-07,-0.0240006,-8.00E-07,0.0559994,-8.00E-07,1.34E-06,-8.00E-07,-0.279999,-0.041599892
-9.99E-07,-0.012,-9.99E-07,0.0479994,-7.99E-07,-0.00800057,-7.99E-07,-0.0400006,-7.99E-07,0.0879994,-7.99E-07,0.0800013,-7.99E-07,-0.0799987,0.008000166
-9.99E-07,-0.002,-9.99E-07,-0.104001,-7.99E-07,0.103999,-7.99E-07,-0.0560006,-7.99E-07,0.0159994,-7.99E-07,0.0800013,-7.99E-07,-0.399999,-0.05119998
-9.98E-07,0.002,-9.98E-07,-0.0240006,-7.98E-07,0.0319994,-7.98E-07,0.0559994,-7.98E-07,0.0319994,-7.98E-07,0.200001,-7.98E-07,-0.239999,0.01600004
-9.98E-07,0.002,-9.98E-07,-0.0560006,-7.98E-07,0.0479994,-7.98E-07,-0.00800057,-7.98E-07,0.0719994,-7.98E-07,0.160001,-7.98E-07,-0.239999,0.006400046
-9.98E-07,-0.002,-9.98E-07,-0.0480006,-7.98E-07,-0.0400006,-7.98E-07,-0.0400006,-7.98E-07,-0.0320006,-7.98E-07,0.240001,-7.98E-07,-0.279999,-0.03039996
-9.97E-07,0,-9.97E-07,0.00799943,-7.97E-07,0.0479994,-7.97E-07,-0.0160006,-7.97E-07,0.0559994,-7.97E-07,0.0800013,-7.97E-07,-0.199999,-0.0063999
-9.97E-07,0,-9.97E-07,-0.0240006,-7.97E-07,0.0719994,-7.97E-07,-0.0400006,-7.97E-07,0.0159994,-7.97E-07,0.320001,-7.97E-07,-0.239999,0.02560004
-9.96E-07,0.008,-9.96E-07,-0.0320006,-7.96E-07,0.0799994,-7.96E-07,-0.0160006,-7.96E-07,-0.0320006,-7.96E-07,0.0800013,-7.96E-07,-0.159999,-0.0095999
-9.96E-07,-0.01,-9.96E-07,-5.70E-07,-7.96E-07,0.0319994,-7.96E-07,-0.0400006,-7.96E-07,-5.70E-07,-7.96E-07,0.200001,-7.96E-07,-0.359999,-0.033599954
-9.96E-07,-0.002,-9.96E-07,-0.0800006,-7.96E-07,0.0559994,-7.96E-07,-0.0480006,-7.96E-07,-0.0320006,-7.96E-07,0.400001,-7.96E-07,-0.319999,0.01120004
-9.95E-07,-0.006,-9.95E-07,-0.00800057,-7.95E-07,0.0799994,-7.95E-07,0.0239994,-7.95E-07,-0.0160006,-7.95E-07,0.200001,-7.95E-07,-0.159999,0.02560004
-9.95E-07,-0.002,-9.95E-07,0.0639994,-7.95E-07,0.0319994,-7.95E-07,-0.0320006,-7.95E-07,0.0159994,-7.95E-07,0.240001,-7.95E-07,-0.199999,0.01120004
-9.94E-07,-0.004,-9.94E-07,-0.0480006,-7.94E-07,0.119999,-7.94E-07,-0.0640006,-7.94E-07,-0.0240006,-7.94E-07,0.240001,-7.94E-07,-0.279999,-0.00160004
-9.94E-07,0.002,-9.94E-07,0.0159994,-7.94E-07,0.0879994,-7.94E-07,-0.0240006,-7.94E-07,-0.120001,-7.94E-07,0.0800013,-7.94E-07,-0.479999,-0.09119998
-9.94E-07,0.002,-9.94E-07,-0.0160006,-7.94E-07,0.0239994,-7.94E-07,-0.0640006,-7.94E-07,0.0479994,-7.94E-07,0.320001,-7.94E-07,-0.319999,0.00160004
-9.93E-07,-0.006,-9.93E-07,-0.0320006,-7.93E-07,0.0639994,-7.93E-07,-0.0160006,-7.93E-07,0.0399994,-7.93E-07,0.120001,-7.93E-07,-0.0399987,0.0336001
-9.93E-07,-0.012,-9.93E-07,0.00799943,-7.93E-07,-0.0400006,-7.93E-07,0.0399994,-7.93E-07,0.0159994,-7.93E-07,0.240001,-7.93E-07,-0.279999,-0.00479996
-9.92E-07,-0.008,-9.92E-07,-0.00800057,-7.92E-07,0.0559994,-7.92E-07,-5.70E-07,-7.92E-07,-0.0160006,-7.92E-07,0.280001,-7.92E-07,-0.439999,-0.023999954
-9.92E-07,0,-9.92E-07,-0.0320006,-7.92E-07,0.103999,-7.92E-07,-0.00800057,-7.92E-07,0.0239994,-7.92E-07,0.360001,-7.92E-07,-0.399999,0.015999966
-9.92E-07,0.006,-9.92E-07,-0.00800057,-7.92E-07,0.0239994,-7.92E-07,-5.70E-07,-7.92E-07,0.0319994,-7.92E-07,0.0400013,-7.92E-07,-0.399999,-0.060799894
-9.91E-07,-0.002,-9.91E-07,-0.0800006,-7.91E-07,0.0559994,-7.91E-07,0.0639994,-7.91E-07,-0.0240006,-7.91E-07,0.200001,-7.91E-07,-0.199999,0.01920004
-9.91E-07,0,-9.91E-07,0.0399994,-7.91E-07,0.111999,-7.91E-07,-0.0560006,-7.91E-07,0.0159994,-7.91E-07,0.240001,-7.91E-07,-0.319999,-0.00160004
-9.90E-07,-0.002,-9.90E-07,-0.104001,-7.90E-07,0.0879994,-7.90E-07,0.0319994,-7.90E-07,-0.0320006,-7.90E-07,0.0400013,-7.90E-07,-0.439999,-0.0623999
-9.90E-07,-0.002,-9.90E-07,0.0239994,-7.90E-07,0.0239994,-7.90E-07,-0.00800057,-7.90E-07,-0.0640006,-7.90E-07,0.200001,-7.90E-07,-0.239999,-0.017599954
-9.90E-07,-0.01,-9.90E-07,0.0319994,-7.90E-07,0.0319994,-7.90E-07,-0.0400006,-7.90E-07,0.0799994,-7.90E-07,0.200001,-7.90E-07,-0.279999,-0.00159996
-9.89E-07,-0.002,-9.89E-07,-0.0160006,-7.89E-07,0.0799994,-7.89E-07,-0.0640006,-7.89E-07,-5.70E-07,-7.89E-07,0.0800013,-7.89E-07,-0.399999,-0.060799894
-9.89E-07,0,-9.89E-07,-5.70E-07,-7.89E-07,0.0799994,-7.89E-07,-0.0400006,-7.89E-07,0.0399994,-7.89E-07,0.160001,-7.89E-07,-0.239999,4E-08
