time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-0.000500002,0.04,-0.000500002,-0.0400006,-8.00E-07,0.0559994,-8.00E-07,-5.70E-07,-8.00E-07,0.00799943,-8.00E-07,0.320001,-8.00E-07,-0.159999
-0.000499994,0,-0.000499994,-0.0160006,-8.00E-07,0.111999,-8.00E-07,-0.0160006,-8.00E-07,0.0639994,-8.00E-07,0.240001,-8.00E-07,-0.119999
-0.000499986,0.008,-0.000499986,-0.0320006,-7.99E-07,0.0399994,-7.99E-07,0.0159994,-7.99E-07,0.0159994,-7.99E-07,0.440001,-7.99E-07,1.34E-06
-0.000499978,0.008,-0.000499978,-0.0880006,-7.99E-07,0.0319994,-7.99E-07,-0.0560006,-7.99E-07,-0.0240006,-7.99E-07,0.320001,-7.99E-07,0.120001
-0.00049997,0.004,-0.00049997,-0.0400006,-7.98E-07,0.0639994,-7.98E-07,-0.00800057,-7.98E-07,0.0239994,-7.98E-07,0.200001,-7.98E-07,-0.159999
-0.000499962,-0.004,-0.000499962,-0.0400006,-7.98E-07,0.0559994,-7.98E-07,-0.0240006,-7.98E-07,0.00799943,-7.98E-07,0.280001,-7.98E-07,-0.159999
-0.000499954,0.004,-0.000499954,0.0319994,-7.98E-07,0.0479994,-7.98E-07,-0.0320006,-7.98E-07,0.0239994,-7.98E-07,0.360001,-7.98E-07,-0.159999
-0.000499946,-0.008,-0.000499946,-0.112001,-7.97E-07,0.0159994,-7.97E-07,0.0239994,-7.97E-07,0.0399994,-7.97E-07,0.400001,-7.97E-07,-0.0399987
-0.000499938,0.016,-0.000499938,0.0399994,-7.97E-07,0.0239994,-7.97E-07,-0.0160006,-7.97E-07,-0.00800057,-7.97E-07,0.240001,-7.97E-07,-0.199999
-0.00049993,0.016,-0.00049993,-0.0800006,-7.96E-07,0.0319994,-7.96E-07,-0.0720006,-7.96E-07,-5.70E-07,-7.96E-07,0.200001,-7.96E-07,-0.0399987
-0.000499922,0.016,-0.000499922,-0.0400006,-7.96E-07,0.0559994,-7.96E-07,-0.0320006,-7.96E-07,0.0399994,-7.96E-07,0.240001,-7.96E-07,1.34E-06
-0.000499914,-0.016,-0.000499914,-0.00800057,-7.96E-07,0.00799943,-7.96E-07,-0.0400006,-7.96E-07,0.0239994,-7.96E-07,0.0400013,-7.96E-07,-0.0399987
-0.000499906,0.008,-0.000499906,0.0399994,-7.95E-07,0.0319994,-7.95E-07,-0.0240006,-7.95E-07,0.0799994,-7.95E-07,0.160001,-7.95E-07,1.34E-06
-0.000499898,0.016,-0.000499898,0.00799943,-7.95E-07,0.0799994,-7.95E-07,-0.0160006,-7.95E-07,0.0159994,-7.95E-07,0.320001,-7.95E-07,1.34E-06
-0.00049989,-0.024,-0.00049989,-0.00800057,-7.94E-07,0.0799994,-7.94E-07,-0.00800057,-7.94E-07,0.0719994,-7.94E-07,0.520001,-7.94E-07,1.34E-06
-0.000499882,0.012,-0.000499882,-0.0240006,-7.94E-07,0.0559994,-7.94E-07,-0.0480006,-7.94E-07,-0.0480006,-7.94E-07,0.0800013,-7.94E-07,-0.119999
-0.000499874,0.016,-0.000499874,0.0159994,-7.94E-07,0.111999,-7.94E-07,0.0319994,-7.94E-07,0.0559994,-7.94E-07,0.240001,-7.94E-07,-0.0799987
-0.000499866,0.004,-0.000499866,-0.00800057,-7.93E-07,0.0399994,-7.93E-07,-0.0560006,-7.93E-07,-0.00800057,-7.93E-07,0.0800013,-7.93E-07,-0.0799987
-0.000499858,0.008,-0.000499858,0.0159994,-7.93E-07,0.0399994,-7.93E-07,0.0399994,-7.93E-07,-0.0160006,-7.93E-07,0.400001,-7.93E-07,-0.119999
-0.00049985,0.012,-0.00049985,0.0719994,-7.92E-07,0.0639994,-7.92E-07,0.0559994,-7.92E-07,0.0559994,-7.92E-07,0.0400013,-7.92E-07,-0.159999
-0.000499842,0.02,-0.000499842,0.00799943,-7.92E-07,0.0719994,-7.92E-07,-0.0160006,-7.92E-07,0.0559994,-7.92E-07,0.160001,-7.92E-07,-0.159999
-0.000499834,0.032,-0.000499834,-5.70E-07,-7.92E-07,0.0479994,-7.92E-07,-0.0640006,-7.92E-07,0.0639994,-7.92E-07,0.360001,-7.92E-07,-0.119999
-0.000499826,0.02,-0.000499826,-0.0160006,-7.91E-07,-0.0160006,-7.91E-07,-0.0160006,-7.91E-07,0.0319994,-7.91E-07,0.160001,-7.91E-07,-0.0399987
-0.000499818,0.016,-0.000499818,0.0159994,-7.91E-07,0.0719994,-7.91E-07,0.00799943,-7.91E-07,0.0479994,-7.91E-07,0.0400013,-7.91E-07,-0.119999
-0.00049981,0.004,-0.00049981,-5.70E-07,-7.90E-07,-0.0560006,-7.90E-07,-0.0240006,-7.90E-07,0.00799943,-7.90E-07,0.120001,-7.90E-07,-0.359999
-0.000499802,0.016,-0.000499802,-0.0320006,-7.90E-07,-0.0160006,-7.90E-07,-0.0160006,-7.90E-07,0.0559994,-7.90E-07,0.0400013,-7.90E-07,-0.239999
-0.000499794,0.008,-0.000499794,-0.0320006,-7.90E-07,0.0479994,-7.90E-07,-0.0240006,-7.90E-07,0.0399994,-7.90E-07,0.400001,-7.90E-07,-0.159999
-0.000499786,-0.012,-0.000499786,-0.0320006,-7.89E-07,0.0479994,-7.89E-07,-0.0640006,-7.89E-07,0.0559994,-7.89E-07,0.0800013,-7.89E-07,1.34E-06
-0.000499778,-0.004,-0.000499778,-0.00800057,-7.89E-07,-0.0240006,-7.89E-07,0.0319994,-7.89E-07,-0.0160006,-7.89E-07,0.240001,-7.89E-07,-0.119999
-0.00049977,0.036,-0.00049977,-0.00800057,-7.88E-07,0.0399994,-7.88E-07,-0.0240006,-7.88E-07,-5.70E-07,-7.88E-07,0.0800013,-7.88E-07,-0.159999
-0.000499762,0.004,-0.000499762,0.0799994,-7.88E-07,-0.0400006,-7.88E-07,0.00799943,-7.88E-07,0.0319994,-7.88E-07,0.120001,-7.88E-07,-0.199999
-0.000499754,0.004,-0.000499754,0.00799943,-7.88E-07,0.103999,-7.88E-07,-0.00800057,-7.88E-07,0.00799943,-7.88E-07,0.160001,-7.88E-07,0.0400013
