time1,Diode,time2,PCD3_B
-3.96e-06,0.012,-3.96e-06,4.99360008
-3.96e-06,0.012,-3.96e-06,4.99280008
-3.96e-06,-0.008,-3.96e-06,4.99840008
-3.96e-06,0.016,-3.96e-06,5.000800078
-3.96e-06,0.02,-3.96e-06,5.00640008
-3.96e-06,0.004,-3.96e-06,4.999200078
-3.96e-06,-0.012,-3.96e-06,5.000800078
-3.96e-06,0.004,-3.96e-06,5.00240008
-3.96e-06,0.008,-3.96e-06,4.99440008
-3.96e-06,0.0,-3.96e-06,4.99600008
-3.95e-06,0.008,-3.95e-06,5.00320008
-3.95e-06,0.008,-3.95e-06,5.00160008
-3.95e-06,0.012,-3.95e-06,4.99200008
-3.95e-06,0.0,-3.95e-06,4.99680008
-3.95e-06,0.0,-3.95e-06,4.99680008
-3.95e-06,0.008,-3.95e-06,5.00160008
-3.95e-06,0.008,-3.95e-06,5.00160008
-3.95e-06,0.0,-3.95e-06,4.99680008
-3.95e-06,0.008,-3.95e-06,5.00320008
-3.95e-06,0.012,-3.95e-06,5.00240008
-3.95e-06,0.0,-3.95e-06,5.00560008
-3.95e-06,-0.008,-3.95e-06,5.00400008
-3.95e-06,0.004,-3.95e-06,4.99360008
-3.94e-06,0.0,-3.94e-06,5.00240008
-3.94e-06,0.008,-3.94e-06,4.99680008
-3.94e-06,0.02,-3.94e-06,4.99760008
-3.94e-06,0.008,-3.94e-06,5.00320008
-3.94e-06,0.004,-3.94e-06,4.99600008
-3.94e-06,0.0,-3.94e-06,4.99760008
-3.94e-06,0.0,-3.94e-06,4.999200078
-3.94e-06,0.004,-3.94e-06,4.999200078
-3.94e-06,0.012,-3.94e-06,4.99520008
-3.94e-06,-0.012,-3.94e-06,4.99280008
-3.94e-06,-0.004,-3.94e-06,4.99840008
-3.94e-06,-0.004,-3.94e-06,4.99520008
-3.93e-06,0.008,-3.93e-06,5.00160008
-3.93e-06,0.008,-3.93e-06,4.99680008
-3.93e-06,0.004,-3.93e-06,4.999200078
-3.93e-06,0.004,-3.93e-06,5.00560008
-3.93e-06,-0.016,-3.93e-06,5.000800078
-3.93e-06,0.008,-3.93e-06,5.00160008
-3.93e-06,0.008,-3.93e-06,5.000000078
-3.93e-06,0.0,-3.93e-06,5.000000078
-3.93e-06,0.004,-3.93e-06,5.00320008
-3.93e-06,0.004,-3.93e-06,4.99760008
-3.93e-06,0.0,-3.93e-06,4.99680008
-3.93e-06,0.012,-3.93e-06,4.99680008
-3.93e-06,-0.004,-3.93e-06,4.999200078
-3.92e-06,0.012,-3.92e-06,4.99840008
-3.92e-06,0.004,-3.92e-06,5.000800078
-3.92e-06,0.012,-3.92e-06,4.99440008
-3.92e-06,0.008,-3.92e-06,4.99680008
-3.92e-06,-0.008,-3.92e-06,5.000800078
-3.92e-06,-0.004,-3.92e-06,4.99840008
-3.92e-06,-0.016,-3.92e-06,5.000800078
-3.92e-06,0.016,-3.92e-06,4.99520008
-3.92e-06,-0.012,-3.92e-06,4.99600008
-3.92e-06,0.004,-3.92e-06,4.99760008
-3.92e-06,-0.004,-3.92e-06,4.99760008
-3.92e-06,0.0,-3.92e-06,5.000000078
-3.91e-06,0.0,-3.91e-06,4.99520008
-3.91e-06,0.004,-3.91e-06,4.99520008
-3.91e-06,0.0,-3.91e-06,4.99600008
-3.91e-06,0.004,-3.91e-06,4.99440008
-3.91e-06,0.012,-3.91e-06,4.99840008
-3.91e-06,0.0,-3.91e-06,4.99520008
-3.91e-06,0.012,-3.91e-06,4.99600008
-3.91e-06,0.004,-3.91e-06,5.00240008
-3.91e-06,0.012,-3.91e-06,5.00320008
-3.91e-06,0.004,-3.91e-06,5.00320008
-3.91e-06,0.012,-3.91e-06,4.999200078
-3.91e-06,0.0,-3.91e-06,4.99520008
-3.91e-06,-0.012,-3.91e-06,4.999200078
-3.9e-06,0.008,-3.9e-06,4.999200078
-3.9e-06,0.016,-3.9e-06,4.99840008
-3.9e-06,0.004,-3.9e-06,5.00240008
-3.9e-06,0.012,-3.9e-06,4.99760008
-3.9e-06,0.004,-3.9e-06,5.00160008
-3.9e-06,0.008,-3.9e-06,4.99360008
-3.9e-06,0.008,-3.9e-06,4.99520008
-3.9e-06,0.008,-3.9e-06,4.99760008
-3.9e-06,0.004,-3.9e-06,4.99840008
-3.9e-06,0.016,-3.9e-06,4.99280008
-3.9e-06,0.004,-3.9e-06,5.00480008
-3.9e-06,-0.004,-3.9e-06,5.00400008
-3.89e-06,-0.004,-3.89e-06,5.00480008
-3.89e-06,0.0,-3.89e-06,4.99760008
-3.89e-06,0.0,-3.89e-06,4.99840008
-3.89e-06,0.0,-3.89e-06,5.00160008
-3.89e-06,0.004,-3.89e-06,4.99840008
-3.89e-06,-0.008,-3.89e-06,4.99840008
-3.89e-06,-0.008,-3.89e-06,4.99840008
-3.89e-06,0.008,-3.89e-06,4.99760008
-3.89e-06,0.008,-3.89e-06,4.99440008
-3.89e-06,-0.012,-3.89e-06,4.99680008
-3.89e-06,0.008,-3.89e-06,5.000000078
-3.89e-06,0.0,-3.89e-06,4.999200078
-3.89e-06,0.004,-3.89e-06,4.99680008
-3.88e-06,0.0,-3.88e-06,4.999200078
-3.88e-06,0.012,-3.88e-06,5.00400008
-3.88e-06,0.024,-3.88e-06,4.99520008
-3.88e-06,0.0,-3.88e-06,5.00320008
-3.88e-06,0.012,-3.88e-06,5.00400008
