time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-5.00E-05,-0.002,-5.00E-05,0.0359997,-8.00E-07,0.00999986,-8.00E-07,-0.00600014,-8.00E-07,-0.00200014,-8.00E-07,0.111999,-8.00E-07,0.0559994
-5.00E-05,-0.002,-5.00E-05,0.0119997,-8.00E-07,0.0139999,-8.00E-07,-0.00400014,-8.00E-07,0.00399986,-8.00E-07,0.0639994,-8.00E-07,0.0159994
-5.00E-05,0,-5.00E-05,0.0159997,-7.99E-07,0.0139999,-7.99E-07,-0.0220001,-7.99E-07,0.00799986,-7.99E-07,0.0879994,-7.99E-07,0.0479994
-5.00E-05,0,-5.00E-05,0.00399972,-7.99E-07,0.0119999,-7.99E-07,-0.0120001,-7.99E-07,0.00799986,-7.99E-07,0.0639994,-7.99E-07,0.0719994
-5.00E-05,-0.004,-5.00E-05,0.0159997,-7.98E-07,0.00799986,-7.98E-07,-0.00800014,-7.98E-07,0.00999986,-7.98E-07,0.0159994,-7.98E-07,0.0559994
-5.00E-05,0.004,-5.00E-05,0.00799972,-7.98E-07,0.00999986,-7.98E-07,-0.0180001,-7.98E-07,0.00999986,-7.98E-07,0.143999,-7.98E-07,0.103999
-5.00E-05,0,-5.00E-05,0.0119997,-7.98E-07,0.0119999,-7.98E-07,-0.0140001,-7.98E-07,-0.00400014,-7.98E-07,0.0319994,-7.98E-07,0.135999
-5.00E-05,-0.002,-5.00E-05,-0.00800029,-7.97E-07,0.00799986,-7.97E-07,-0.00400014,-7.97E-07,0.0139999,-7.97E-07,0.135999,-7.97E-07,0.143999
-5.00E-05,0.004,-5.00E-05,0.0199997,-7.97E-07,0.0159999,-7.97E-07,-0.0140001,-7.97E-07,0.00599986,-7.97E-07,0.0559994,-7.97E-07,0.0239994
-5.00E-05,0.006,-5.00E-05,0.0199997,-7.96E-07,-1.42E-07,-7.96E-07,-0.00400014,-7.96E-07,-1.42E-07,-7.96E-07,0.00799943,-7.96E-07,-0.00800057
-5.00E-05,0.006,-5.00E-05,0.0239997,-7.96E-07,0.00599986,-7.96E-07,-0.0100001,-7.96E-07,0.00399986,-7.96E-07,0.103999,-7.96E-07,0.0399994
-5.00E-05,0,-5.00E-05,0.00399972,-7.96E-07,0.0179999,-7.96E-07,-0.00200014,-7.96E-07,0.00999986,-7.96E-07,0.0799994,-7.96E-07,0.00799943
-5.00E-05,0.002,-5.00E-05,0.0279997,-7.95E-07,0.00999986,-7.95E-07,-0.00800014,-7.95E-07,0.00599986,-7.95E-07,0.0559994,-7.95E-07,-0.0160006
-5.00E-05,0.006,-5.00E-05,0.00399972,-7.95E-07,0.0219999,-7.95E-07,-0.0140001,-7.95E-07,0.00599986,-7.95E-07,0.119999,-7.95E-07,0.0239994
-5.00E-05,0,-5.00E-05,0.00799972,-7.94E-07,0.00799986,-7.94E-07,-0.00600014,-7.94E-07,-0.00400014,-7.94E-07,0.119999,-7.94E-07,0.127999
-5.00E-05,0.006,-5.00E-05,0.0319997,-7.94E-07,0.0139999,-7.94E-07,-0.0140001,-7.94E-07,0.00799986,-7.94E-07,0.0879994,-7.94E-07,0.0639994
-5.00E-05,0.004,-5.00E-05,0.0159997,-7.94E-07,-0.00400014,-7.94E-07,-0.0140001,-7.94E-07,-1.42E-07,-7.94E-07,0.0559994,-7.94E-07,0.119999
-5.00E-05,0.002,-5.00E-05,0.0159997,-7.93E-07,0.00799986,-7.93E-07,-0.0140001,-7.93E-07,-0.00200014,-7.93E-07,0.0959994,-7.93E-07,0.0479994
-5.00E-05,0.004,-5.00E-05,-2.85E-07,-7.93E-07,0.0119999,-7.93E-07,-0.0160001,-7.93E-07,0.0139999,-7.93E-07,0.0879994,-7.93E-07,-5.70E-07
-5.00E-05,-0.01,-5.00E-05,0.00799972,-7.92E-07,0.00799986,-7.92E-07,-0.0120001,-7.92E-07,0.0179999,-7.92E-07,0.0559994,-7.92E-07,0.0319994
-5.00E-05,0.012,-5.00E-05,0.0159997,-7.92E-07,0.00999986,-7.92E-07,-0.0180001,-7.92E-07,0.00799986,-7.92E-07,0.111999,-7.92E-07,0.00799943
-5.00E-05,0,-5.00E-05,0.0119997,-7.92E-07,0.0179999,-7.92E-07,-0.0140001,-7.92E-07,0.00999986,-7.92E-07,0.0719994,-7.92E-07,0.143999
-5.00E-05,0.006,-5.00E-05,0.0199997,-7.91E-07,0.00999986,-7.91E-07,-0.00800014,-7.91E-07,0.0119999,-7.91E-07,0.0399994,-7.91E-07,0.00799943
-5.00E-05,0.002,-5.00E-05,0.00799972,-7.91E-07,0.00999986,-7.91E-07,-0.00600014,-7.91E-07,0.0159999,-7.91E-07,0.103999,-7.91E-07,0.103999
-5.00E-05,0,-5.00E-05,0.00399972,-7.90E-07,0.00799986,-7.90E-07,-0.0120001,-7.90E-07,0.00799986,-7.90E-07,0.0239994,-7.90E-07,0.0159994
-5.00E-05,0,-5.00E-05,0.00799972,-7.90E-07,-1.42E-07,-7.90E-07,-0.0160001,-7.90E-07,0.00799986,-7.90E-07,0.0239994,-7.90E-07,0.119999
-4.99E-05,-0.002,-4.99E-05,0.0159997,-7.90E-07,0.00399986,-7.90E-07,-0.0160001,-7.90E-07,0.0159999,-7.90E-07,0.0799994,-7.90E-07,-0.0320006
-4.99E-05,0,-4.99E-05,0.0119997,-7.89E-07,0.00599986,-7.89E-07,-0.0120001,-7.89E-07,0.0199999,-7.89E-07,0.0879994,-7.89E-07,0.0239994
-4.99E-05,0.006,-4.99E-05,0.0359997,-7.89E-07,0.00999986,-7.89E-07,-0.0160001,-7.89E-07,0.00999986,-7.89E-07,0.103999,-7.89E-07,0.0799994
-4.99E-05,0.006,-4.99E-05,0.0119997,-7.88E-07,0.0119999,-7.88E-07,-0.0140001,-7.88E-07,-0.00200014,-7.88E-07,-0.0240006,-7.88E-07,0.111999
-4.99E-05,0.01,-4.99E-05,0.0159997,-7.88E-07,0.0179999,-7.88E-07,-0.0120001,-7.88E-07,0.0119999,-7.88E-07,0.111999,-7.88E-07,0.103999
-4.99E-05,-0.002,-4.99E-05,-0.00400029,-7.88E-07,0.0159999,-7.88E-07,-0.0200001,-7.88E-07,0.00999986,-7.88E-07,0.0639994,-7.88E-07,0.0559994
-4.99E-05,0.006,-4.99E-05,0.0359997,-7.87E-07,0.0139999,-7.87E-07,-0.0200001,-7.87E-07,0.00999986,-7.87E-07,0.0799994,-7.87E-07,0.0959994
-4.99E-05,0.002,-4.99E-05,0.0119997,-7.87E-07,0.0219999,-7.87E-07,-0.00800014,-7.87E-07,0.00799986,-7.87E-07,0.0799994,-7.87E-07,0.0239994
-4.99E-05,-0.01,-4.99E-05,0.0279997,-7.86E-07,0.0219999,-7.86E-07,-0.0200001,-7.86E-07,-0.00200014,-7.86E-07,0.0479994,-7.86E-07,0.127999
-4.99E-05,-0.006,-4.99E-05,0.0119997,-7.86E-07,0.0179999,-7.86E-07,-0.00800014,-7.86E-07,0.00799986,-7.86E-07,0.0399994,-7.86E-07,0.0479994
-4.99E-05,-0.002,-4.99E-05,0.0279997,-7.86E-07,0.00599986,-7.86E-07,-0.0220001,-7.86E-07,-0.00200014,-7.86E-07,0.0559994,-7.86E-07,0.0639994
-4.99E-05,0.004,-4.99E-05,0.00399972,-7.85E-07,0.0179999,-7.85E-07,-0.0220001,-7.85E-07,0.00599986,-7.85E-07,0.0479994,-7.85E-07,0.103999
-4.99E-05,0.002,-4.99E-05,0.0239997,-7.85E-07,0.0199999,-7.85E-07,-0.0160001,-7.85E-07,0.00199986,-7.85E-07,0.00799943,-7.85E-07,0.0239994
-4.99E-05,-0.004,-4.99E-05,0.0119997,-7.84E-07,0.0159999,-7.84E-07,-0.0160001,-7.84E-07,0.00199986,-7.84E-07,-5.70E-07,-7.84E-07,-5.70E-07
-4.99E-05,0.002,-4.99E-05,0.0359997,-7.84E-07,0.00799986,-7.84E-07,-0.0240001,-7.84E-07,-0.00400014,-7.84E-07,0.0799994,-7.84E-07,0.0799994
-4.99E-05,-0.002,-4.99E-05,0.0319997,-7.84E-07,0.0179999,-7.84E-07,-0.00200014,-7.84E-07,-0.00600014,-7.84E-07,0.0559994,-7.84E-07,0.119999
-4.99E-05,-0.002,-4.99E-05,0.00799972,-7.83E-07,0.0179999,-7.83E-07,-0.0140001,-7.83E-07,0.00399986,-7.83E-07,0.119999,-7.83E-07,0.0159994
-4.99E-05,-0.006,-4.99E-05,0.0119997,-7.83E-07,0.00999986,-7.83E-07,-0.00800014,-7.83E-07,0.0159999,-7.83E-07,0.119999,-7.83E-07,0.0559994
-4.99E-05,0.008,-4.99E-05,0.0279997,-7.82E-07,0.00599986,-7.82E-07,-0.0160001,-7.82E-07,0.00199986,-7.82E-07,0.0559994,-7.82E-07,0.103999
-4.99E-05,0.002,-4.99E-05,0.0239997,-7.82E-07,0.00999986,-7.82E-07,-0.0100001,-7.82E-07,-0.00200014,-7.82E-07,0.0399994,-7.82E-07,0.103999
-4.99E-05,0.004,-4.99E-05,0.0119997,-7.82E-07,0.00999986,-7.82E-07,-0.0160001,-7.82E-07,0.00199986,-7.82E-07,0.0719994,-7.82E-07,0.151999
-4.99E-05,-0.002,-4.99E-05,0.0119997,-7.81E-07,0.0139999,-7.81E-07,-0.0180001,-7.81E-07,0.00999986,-7.81E-07,0.111999,-7.81E-07,0.0879994
-4.99E-05,0.002,-4.99E-05,0.0239997,-7.81E-07,0.0139999,-7.81E-07,-0.0120001,-7.81E-07,0.00599986,-7.81E-07,0.0639994,-7.81E-07,0.0479994
-4.99E-05,0,-4.99E-05,0.00399972,-7.80E-07,0.00199986,-7.80E-07,-0.0160001,-7.80E-07,0.00599986,-7.80E-07,0.0479994,-7.80E-07,0.0639994
-4.99E-05,0.006,-4.99E-05,0.00799972,-7.80E-07,0.00399986,-7.80E-07,-0.0200001,-7.80E-07,-1.42E-07,-7.80E-07,0.0399994,-7.80E-07,0.0959994
-4.99E-05,0,-4.99E-05,0.00399972,-7.80E-07,0.0179999,-7.80E-07,-0.0180001,-7.80E-07,0.0159999,-7.80E-07,0.0799994,-7.80E-07,0.0239994
-4.99E-05,0.008,-4.99E-05,0.0199997,-7.79E-07,0.00999986,-7.79E-07,-0.00600014,-7.79E-07,0.0119999,-7.79E-07,0.0639994,-7.79E-07,0.127999
-4.99E-05,0,-4.99E-05,-2.85E-07,-7.79E-07,0.00799986,-7.79E-07,-0.0160001,-7.79E-07,0.00399986,-7.79E-07,0.0479994,-7.79E-07,0.0799994
-4.99E-05,-0.002,-4.99E-05,0.00799972,-7.78E-07,0.00399986,-7.78E-07,-0.0140001,-7.78E-07,0.00399986,-7.78E-07,-5.70E-07,-7.78E-07,0.0639994
-4.99E-05,0.004,-4.99E-05,0.0119997,-7.78E-07,0.00999986,-7.78E-07,-0.0180001,-7.78E-07,0.0159999,-7.78E-07,0.0719994,-7.78E-07,0.0319994
-4.99E-05,0,-4.99E-05,0.0159997,-7.78E-07,0.0119999,-7.78E-07,-0.0100001,-7.78E-07,0.00799986,-7.78E-07,0.0559994,-7.78E-07,-5.70E-07
-4.99E-05,0.006,-4.99E-05,0.0159997,-7.77E-07,0.0179999,-7.77E-07,-0.00600014,-7.77E-07,-1.42E-07,-7.77E-07,0.119999,-7.77E-07,0.0959994
-4.99E-05,-0.002,-4.99E-05,0.0319997,-7.77E-07,0.00999986,-7.77E-07,-0.0180001,-7.77E-07,0.00799986,-7.77E-07,0.0319994,-7.77E-07,0.0399994
-4.99E-05,-0.008,-4.99E-05,0.00799972,-7.76E-07,0.0139999,-7.76E-07,-0.0120001,-7.76E-07,0.0159999,-7.76E-07,0.0879994,-7.76E-07,0.0639994
-4.99E-05,0.008,-4.99E-05,0.0359997,-7.76E-07,0.0139999,-7.76E-07,-0.0140001,-7.76E-07,0.0119999,-7.76E-07,0.111999,-7.76E-07,0.0399994
-4.99E-05,0.004,-4.99E-05,-2.85E-07,-7.76E-07,0.0159999,-7.76E-07,-0.0140001,-7.76E-07,0.0159999,-7.76E-07,0.0959994,-7.76E-07,0.0159994
-4.99E-05,0.01,-4.99E-05,-2.85E-07,-7.75E-07,0.0119999,-7.75E-07,-0.0180001,-7.75E-07,0.00599986,-7.75E-07,0.103999,-7.75E-07,0.143999
-4.99E-05,0.002,-4.99E-05,-0.00800029,-7.75E-07,0.0119999,-7.75E-07,-0.0160001,-7.75E-07,0.00799986,-7.75E-07,0.0719994,-7.75E-07,-0.00800057
-4.99E-05,-0.004,-4.99E-05,0.00799972,-7.74E-07,0.00799986,-7.74E-07,-0.0140001,-7.74E-07,0.00599986,-7.74E-07,0.0319994,-7.74E-07,0.0799994
-4.99E-05,0.002,-4.99E-05,0.00399972,-7.74E-07,0.00999986,-7.74E-07,-0.0140001,-7.74E-07,0.00799986,-7.74E-07,0.135999,-7.74E-07,0.0319994
-4.99E-05,0.008,-4.99E-05,0.0319997,-7.74E-07,0.0159999,-7.74E-07,-0.0160001,-7.74E-07,0.00999986,-7.74E-07,0.103999,-7.74E-07,0.103999
-4.99E-05,0,-4.99E-05,0.00399972,-7.73E-07,0.0179999,-7.73E-07,-0.00800014,-7.73E-07,0.0139999,-7.73E-07,0.0959994,-7.73E-07,-0.0320006
-4.99E-05,0.002,-4.99E-05,0.0279997,-7.73E-07,0.0119999,-7.73E-07,-0.00800014,-7.73E-07,0.00999986,-7.73E-07,0.0559994,-7.73E-07,0.0959994
