time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-1.44E-06,-0.01,-1.44E-06,0.00960008,-7.88E-07,-0.00239992,-7.88E-07,-0.00479992,-7.88E-07,0.0152001,-7.88E-07,0.0159999,-7.88E-07,0.0179999
-1.44E-06,-0.04,-1.44E-06,0.00240008,-7.87E-07,-0.00239992,-7.87E-07,-0.00479992,-7.87E-07,0.0136001,-7.87E-07,0.00799986,-7.87E-07,0.0179999
-1.44E-06,-0.01,-1.44E-06,0.00160008,-7.87E-07,0.000800078,-7.87E-07,-0.00479992,-7.87E-07,0.00960008,-7.87E-07,0.0179999,-7.87E-07,0.0159999
-1.43E-06,0.03,-1.43E-06,0.00560008,-7.86E-07,-0.00399992,-7.86E-07,-0.00719992,-7.86E-07,0.0144001,-7.86E-07,0.0159999,-7.86E-07,0.0179999
-1.43E-06,0.03,-1.43E-06,0.00400008,-7.86E-07,0.00320008,-7.86E-07,-0.00559992,-7.86E-07,0.0112001,-7.86E-07,0.0219999,-7.86E-07,0.0139999
-1.43E-06,0.01,-1.43E-06,0.00400008,-7.86E-07,7.80E-08,-7.86E-07,-0.00239992,-7.86E-07,0.0136001,-7.86E-07,0.0139999,-7.86E-07,0.0219999
-1.43E-06,-0.01,-1.43E-06,-0.000799922,-7.85E-07,0.00240008,-7.85E-07,-0.00239992,-7.85E-07,0.0112001,-7.85E-07,0.0259999,-7.85E-07,0.0239999
-1.43E-06,0.02,-1.43E-06,0.0112001,-7.85E-07,-0.00159992,-7.85E-07,-0.00239992,-7.85E-07,0.0120001,-7.85E-07,0.0179999,-7.85E-07,0.0219999
-1.42E-06,0.02,-1.42E-06,0.00720008,-7.84E-07,0.000800078,-7.84E-07,-0.000799922,-7.84E-07,0.0104001,-7.84E-07,0.0159999,-7.84E-07,0.0219999
-1.42E-06,0.07,-1.42E-06,-0.00239992,-7.84E-07,-0.000799922,-7.84E-07,-0.00399992,-7.84E-07,0.00880008,-7.84E-07,0.0199999,-7.84E-07,0.0319999
-1.42E-06,0.04,-1.42E-06,0.00160008,-7.84E-07,0.00560008,-7.84E-07,-0.00319992,-7.84E-07,0.00480008,-7.84E-07,0.0219999,-7.84E-07,0.0199999
-1.42E-06,0.02,-1.42E-06,-0.00159992,-7.83E-07,-0.00319992,-7.83E-07,-0.00559992,-7.83E-07,0.0120001,-7.83E-07,0.0219999,-7.83E-07,0.0299999
-1.42E-06,0.04,-1.42E-06,0.00160008,-7.83E-07,0.00400008,-7.83E-07,-0.00879992,-7.83E-07,0.00400008,-7.83E-07,0.0179999,-7.83E-07,0.0179999
-1.41E-06,0.02,-1.41E-06,7.80E-08,-7.82E-07,0.00240008,-7.82E-07,-0.00719992,-7.82E-07,0.0168001,-7.82E-07,0.00599986,-7.82E-07,0.0239999
-1.41E-06,0.02,-1.41E-06,0.00400008,-7.82E-07,7.80E-08,-7.82E-07,-0.00639992,-7.82E-07,0.0160001,-7.82E-07,0.0159999,-7.82E-07,0.0219999
-1.41E-06,0.06,-1.41E-06,0.00320008,-7.82E-07,7.80E-08,-7.82E-07,-0.00719992,-7.82E-07,0.0104001,-7.82E-07,0.00599986,-7.82E-07,0.0179999
-1.41E-06,0.02,-1.41E-06,0.00160008,-7.81E-07,-0.00479992,-7.81E-07,-0.0103999,-7.81E-07,0.00800008,-7.81E-07,0.0139999,-7.81E-07,0.0199999
-1.41E-06,0,-1.41E-06,0.000800078,-7.81E-07,0.00320008,-7.81E-07,-0.00959992,-7.81E-07,0.00960008,-7.81E-07,0.00799986,-7.81E-07,0.0259999
-1.40E-06,0.02,-1.40E-06,-0.00319992,-7.80E-07,7.80E-08,-7.80E-07,-0.00959992,-7.80E-07,0.00880008,-7.80E-07,0.0219999,-7.80E-07,0.0279999
-1.40E-06,-0.01,-1.40E-06,0.00720008,-7.80E-07,-0.00239992,-7.80E-07,-0.0103999,-7.80E-07,0.0120001,-7.80E-07,0.0139999,-7.80E-07,0.0179999
-1.40E-06,0.02,-1.40E-06,0.00720008,-7.80E-07,-0.00399992,-7.80E-07,-0.00639992,-7.80E-07,0.0112001,-7.80E-07,0.0139999,-7.80E-07,0.0219999
-1.40E-06,0,-1.40E-06,-0.00799992,-7.79E-07,0.000800078,-7.79E-07,0.000800078,-7.79E-07,0.0128001,-7.79E-07,0.0199999,-7.79E-07,0.0239999
-1.40E-06,0.02,-1.40E-06,0.00800008,-7.79E-07,0.00400008,-7.79E-07,-0.00559992,-7.79E-07,0.0176001,-7.79E-07,0.0199999,-7.79E-07,0.0159999
